username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MundoSeguros;03/01/2011 18:15;0;1;El 10 de enero comienza a funcionar al aseguradora Verti (Diario de Seguros ): Share With Frien... http://feedzil.la/fAX5C9 @MundoSeguros;;@MundoSeguros;;2,1978E+16;https://twitter.com/MundoSeguros/status/21978031476187136
planetaseguros;03/01/2011 18:33;2;0;El 10 de enero comienza a funcionar al aseguradora Verti (Diario de Seguros ) http://dlvr.it/CbFmF;;;;2,19825E+16;https://twitter.com/planetaseguros/status/21982494354055168
abre_10;05/01/2011 0:33;0;0;Vertí una lágrima porque te estoy extrañando, Aún estoy bien para sonreír MUJER, ahora pienso en tí todos los días.. 88';;;;2,24356E+16;https://twitter.com/abre_10/status/22435593342418944
rc_morano;06/01/2011 12:12;0;0;Para los que tengáis que cambiar de seguro pronto: pronto nacerá Verti , filial de Mapfre low-cost (gestión via internet) http://is.gd/kdBag;;;;2,29737E+16;https://twitter.com/rc_morano/status/22973694976458752
vertiseguros;07/01/2011 11:31;0;0;Hola?? hay alguien ahí?? eco ecooooo... creo que hemos llegado demasiado pronto o tarde?? Bueno nos vemos el lunes que os traeremos noticias;;;;2,33258E+16;https://twitter.com/vertiseguros/status/23325814489620482
vertiseguros;07/01/2011 11:34;2;0;Este próximo lunes 10 nacemos, así que podremos ya contaros cosas interesantes e informaros de lo que queráis. Stay tuned!!!;;;;2,33266E+16;https://twitter.com/vertiseguros/status/23326649625870336
julymata05;07/01/2011 22:49;0;0;Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír;;;;2,34964E+16;https://twitter.com/julymata05/status/23496410951327744
KaunasCity;08/01/2011 15:49;0;0;Prisijunk prie aktyvių kauniečių. Pristatyk problemą , teik pasiūlymus miestui. Verti dėmesio pasiūlymai pasieks... http://fb.me/y556JYuU;;;;2,37532E+16;https://twitter.com/KaunasCity/status/23753228160073728
locutorios;09/01/2011 21:52;0;0;La mayor parte del vertido de gasoil en aguas de Tarragona se ha disuelto: EUROPA PRESS La mayor parte del verti ... http://bit.ly/hyJ0M7;;;;2,4207E+16;https://twitter.com/locutorios/status/24207010077605888
fernandocgo;10/01/2011 0:36;0;0;@vertiseguros Estamos impaciente por saber de ustedes. Mañana estaremos atento.;;@vertiseguros;;2,42481E+16;https://twitter.com/fernandocgo/status/24248080622682112
IreneGarciaSaez;10/01/2011 1:17;0;0;@vertiseguros a menos de 5 horas de abrir las puertas and I can´t wait!!;;@vertiseguros;;2,42584E+16;https://twitter.com/IreneGarciaSaez/status/24258442004795393
vertiseguros;10/01/2011 10:08;1;0;Ayyyyy que nervios... hoy salimos. ¿¿Vosotros no estáis nerviosos?? Nosotros si.;;;;2,43921E+16;https://twitter.com/vertiseguros/status/24392063072075776
Designit_ES;10/01/2011 12:56;0;0;Acaba de nacer Verti (www.verti.es) el proyecto más espectacular de seguros de todos los tiempos!! dnx ha hecho la... http://fb.me/RojlLktI;;;;2,44343E+16;https://twitter.com/Designit_ES/status/24434279140294657
vertiseguros;10/01/2011 13:15;2;0;Ya tenemos la web!! está en http://www. verti .com;;;;2,44391E+16;https://twitter.com/vertiseguros/status/24439130951778304
CarlosFdez;10/01/2011 13:17;0;0;Nueva web de Verti Seguros ¡enhorabuena a todo el equipo! RT @vertiseguros Ya tenemos la web!! está en http://www.verti.com;;@vertiseguros;;2,44396E+16;https://twitter.com/CarlosFdez/status/24439604794892288
mglab;10/01/2011 13:20;0;0;muy buena presencia enhorabuena RT @CarlosFdez : Nueva web de Verti Seguros Ya tenemos la web!! está en http://www.verti.com;;@CarlosFdez;;2,44404E+16;https://twitter.com/mglab/status/24440381865201665
vertiseguros;10/01/2011 15:00;2;1;Ilusionados con la web y tan deseado lanzamiento ¿Nos ha quedado chula verdad? ¿Os gusta?;;;;2,44655E+16;https://twitter.com/vertiseguros/status/24465485831602177
vertiseguros;10/01/2011 15:02;0;0;@fernandocgo gracias Fernando ya puedes ver cosas sobre nosotros en la web http://www. verti .com;;@fernandocgo;;2,44661E+16;https://twitter.com/vertiseguros/status/24466147898298368
