username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
pormemecom|2017-06-20 09:50|1|0|"Y ahora a cruzar los dedos con el seguro del coche - http:// buff.ly/2tnnAdN #carretera #planes #segurodecoche #verti #mapfre #Accidente pic.twitter.com/DlteEM63Mj"|||#carretera #planes #segurodecoche #verti #mapfre #Accidente|"877071127809544192"|https://twitter.com/pormemecom/status/877071127809544192
fred_ortuno|2017-04-08 18:18|0|1|"@lenovoMX Hola tengo una laptop Lenovo ThinkPad X250 por accidente vertí toda una taza de café sobre el teclado y como si nada, felicidades."||@lenovoMX||"850744780585873408"|https://twitter.com/fred_ortuno/status/850744780585873408
conchycm71|2017-02-15 13:14|1|1|"La compañía de seguros #Verti con el primer parte de #Accidente te quitan la póliza contratada aunque la tengas vigente #PocaVergüenza pic.twitter.com/kzApToSRHP"|||#Verti #Accidente #PocaVerg|"831839156926021632"|https://twitter.com/conchycm71/status/831839156926021632
Rosa_Maldone|2016-07-05 09:59|1|1|"Las mentiras encubiertas de #Verti . Accidente de coche. RT, por favor https://www. facebook.com/permalink.php? story_fbid=1564341547203086&id=1532865680350673&substory_index=0 …"|||#Verti|"750237777476915200"|https://twitter.com/Rosa_Maldone/status/750237777476915200
susanasogar|2016-02-08 21:22|0|0|"@josecarlos_85 Ojo! Verti NO es Mapfre. He tenido accidente sin ser culpa mía y tengo con seguro a todo riesgo y Verti se desentiende."||@josecarlos_85||"696791258862395393"|https://twitter.com/susanasogar/status/696791258862395393
LUCIARODCAS|2015-07-07 09:21|0|0|"@vertiseguros @jarjonaj bienvenido a verti seguros. Esto nos pasa a todos. Seis meses esperando a reparar mi coche trás un accidente ."||@vertiseguros @jarjonaj||"618318989203259392"|https://twitter.com/LUCIARODCAS/status/618318989203259392
isirour|2015-06-25 15:20|0|0|"@vertiseguros Hola! He tenido un accidente , nunca he dado parte con Verti , como puedo ponerme en contacto con mi gestor? #verticlientes"||@vertiseguros|#verticlientes|"614060620036616192"|https://twitter.com/isirour/status/614060620036616192
aimfri|2015-01-28 11:09|0|0|"Problema con el peritaje de verti seguros: El otro día tuve un accidente porque había atasco y el... http:// bit.ly/1HbdMIb #autosaimfri"|||#autosaimfri|"560379141329924096"|https://twitter.com/aimfri/status/560379141329924096
xwayofficial|2014-12-24 15:17|0|0|"¡Juro que fue por accidente ! Hice yogurt de pajaritos (Kéfir) y lo vertí en una taza que tenía café en polvo en... http:// fb.me/6p5pkNmtY"||||"547758052813053952"|https://twitter.com/xwayofficial/status/547758052813053952
Lisergido|2014-11-12 16:43|0|0|"- VERTI , SEGUROS PARA GENTE DESPIERTA.- rezaba el anuncio. Juan no dudó en contratarlo. Entonces, tuvo un accidente en coche y entró en coma."||||"532559269548535808"|https://twitter.com/Lisergido/status/532559269548535808
walkirior|2014-10-19 22:42|2|0|"@vertiseguros Increíble que después de un mes en un accidente que yo no tuve la culpa este esperando a que Vertí repare mi coche.VERGONZOSO"||@vertiseguros||"523937318043148289"|https://twitter.com/walkirior/status/523937318043148289
roMaanvRs|2014-06-08 19:43|0|0|"Si te quedas dormido al volante y tu seguro es Verti , ¿no te cubre el accidente ?"||||"475694644073086976"|https://twitter.com/roMaanvRs/status/475694644073086976
AlfredBurgos|2014-04-08 23:41|0|2|"@javipese Mutua Madrileña, Max Factor, Verti , PokerStars, Ambipur, Catalana Occidente , Citröen, Multiópticas, Stee Lauder, KH7, C&A, Rochas"||@javipese||"453648941960003584"|https://twitter.com/AlfredBurgos/status/453648941960003584
reciclateenvzla|2013-11-27 12:42|1|0|"¿Por qué Francia y España no abren de nuevo el Ferrocarril Canfranc-Olorón?: En 1970, un accidente en la verti ... http:// bit.ly/1ezFpJB"||||"405662893263163392"|https://twitter.com/reciclateenvzla/status/405662893263163392
indemnizaciones|2013-09-23 14:53|0|0|"Accidente de tráfico: Aseguradora Verti | Blog Indemnizacion por Accidente http://www. indemnizacionporaccidente.com/blog/2013/09/2 3/accidente-de-trafico-aseguradora-verti/ …"||||"382125669921984512"|https://twitter.com/indemnizaciones/status/382125669921984512
Erugand|2013-07-30 05:12|0|0|"Acabo de hacer un descubrimiento muy afortunado: por accidente vertí una taza de bacterias (mi cena) sobre papel, se comenzó a evaporar."||||"362047972357308416"|https://twitter.com/Erugand/status/362047972357308416
meengatusa|2013-07-25 12:54|0|0|"@Srta_Campos @vertiseguros los de Verti en un accidente te regatean más que un gitano en el mercado a la hora de indemnizarte."||@Srta_Campos @vertiseguros||"360352276767965185"|https://twitter.com/meengatusa/status/360352276767965185
k_teto|2012-08-17 00:38|0|0|"@UnaParejaDice @Lollipop23q eso decidselo a los agentes de catalana occidente , ocaso, fenix, verti , mapfre, caser..."||@UnaParejaDice @Lollipop23q||"236230571922173952"|https://twitter.com/k_teto/status/236230571922173952
javiergarciarol|2012-08-09 19:30|1|0|"En guadalinfo mandando correo electrónico para la compañía verti para la indemnización del accidente pic.twitter.com/r1mgowGE"||||"233616186812813314"|https://twitter.com/javiergarciarol/status/233616186812813314
SkookieMonster|2012-07-04 22:03|0|0|"Le vertí café lenta y dolorosamente a mi iPod. Y por accidente . Alguien hágame reaccionar, por favor."||||"220608707875184641"|https://twitter.com/SkookieMonster/status/220608707875184641
Loida_Escab|2012-05-26 00:35|0|0|"@DixieMCR jajaja pero que parezca un accidente y no un crimen estudiantil eh? que la verti tiene muchos enemigos"||@DixieMCR||"206151592985116675"|https://twitter.com/Loida_Escab/status/206151592985116675
zaiferor|2012-05-09 21:52|0|0|"Pre-segunda parte: Voll-Damm, Pans&Company, Coca Cola, Moto GP, seguros.es, verti , opticalia, floid, Catalana Occidente , Ono, Decathlon,"||||"200312301943926785"|https://twitter.com/zaiferor/status/200312301943926785
lagineta|2012-03-20 23:44|0|0|"Despierta!! llama a verti seguros y estarás dos meses sin coche y te regalan otro mes más! Y eso siendo la perjudicada en un accidente !!"||||"182236295022645248"|https://twitter.com/lagineta/status/182236295022645248
Silvi_Cuesta|2012-02-07 21:41|0|0|"Si en Seguros Verti tienes un accidente durmiendo no cuenta o como va esto?"||||"166984832285544448"|https://twitter.com/Silvi_Cuesta/status/166984832285544448
potenciadinero|2011-09-15 18:51|0|0|"Verti Seguros Coche de Sustitución por 5€ al día, garantiza tu Movilidad con otro coche en caso de accidente , verti.com http:// bit.ly/nEDCHU"||||"114380759132934145"|https://twitter.com/potenciadinero/status/114380759132934145
