username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
jujirawe|2017-08-15 01:36|4|19|"Vertí y John los nuevos refuerzos de CAI. Bien por los partidarios que no develaron los tapados antes de la presentación. https:// twitter.com/independiente/ status/897235173959512064 …"||||"897240605218271232"|https://twitter.com/jujirawe/status/897240605218271232
freezerito|2017-08-05 19:50|0|0|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír Chica, ahora pienso en ti todos los días... http:// fb.me/7U5v6IYMs"||||"893892013753597955"|https://twitter.com/freezerito/status/893892013753597955
nweksteen|2017-07-29 18:57|0|0|"Je ne vois pas vraiment de verti par contre bien roui."||||"891341885406683141"|https://twitter.com/nweksteen/status/891341885406683141
disparatedeJavi|2017-07-27 13:11|0|0|"Bien que haces ... yo he perdido todos los de @Futbolesinjusto y #elnúmero5 y otras webs donde vertí mis #disparates"||@Futbolesinjusto|#eln #disparates|"890529967603404800"|https://twitter.com/disparatedeJavi/status/890529967603404800
sofiiart|2017-07-23 01:22|0|0|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír Chica, ahora pienso en tí todos los días"||||"888902210293248002"|https://twitter.com/sofiiart/status/888902210293248002
GlueMou|2017-07-11 14:54|0|2|"tu preches un con bien verti !"||||"884757828757577728"|https://twitter.com/GlueMou/status/884757828757577728
ConstantinoApol|2017-07-04 01:02|0|0|"mar o mas bien verti en el mar lo que habi en tal urna, porque daysi carvajal de salerno que es la esposa del hermano de mi madre y ella"||||"882011630657314816"|https://twitter.com/ConstantinoApol/status/882011630657314816
nievas_h|2017-06-20 04:25|1|1|"Bien igual! !vamos el vertí"||||"876989469039239168"|https://twitter.com/nievas_h/status/876989469039239168
XanderZ4|2017-05-20 23:19|0|0|"Solamente una característica de "wanna be" y está bien , cada quien lo suyo. Sólo vertí mi opinión. Sus primeros discos eran pasables..."||||"866040645953179648"|https://twitter.com/XanderZ4/status/866040645953179648
Eliziel31mess|2017-05-15 00:50|0|0|"Vertí una lágrima porque te estoy extrañando. Aún estoy bien para sonreír, ahora pienso en ti todos los días. Tu estás en mi corazón ahora."||||"863889168342142976"|https://twitter.com/Eliziel31mess/status/863889168342142976
Rubi_MS_Pardo|2017-05-08 22:47|0|0|"-Muy bien cuidada tenían a esta niña...- Agarré un algodón y en este vertí unas gotas de la sangre que tenía guardada. Después >"||||"861684094178123776"|https://twitter.com/Rubi_MS_Pardo/status/861684094178123776
Guio_Guio|2017-04-23 21:33|0|0|"Vertí una lágrima porque te estoy extrañando pero aun así estoy bien para sonreír http:// fb.me/6f5e2L3rm"||||"856229500211929088"|https://twitter.com/Guio_Guio/status/856229500211929088
ALedirach|2017-04-09 18:52|2|6|"@SwVannes 2ème prix remis par @CantinAnnabelle @La_Trinitaine au projet Natura Verti . Un superbe projet RSE pour le bien -être des salariés pic.twitter.com/abQ1J6QUZE"||@SwVannes @CantinAnnabelle @La_Trinitaine||"851115737905332225"|https://twitter.com/ALedirach/status/851115737905332225
ClubAdarayPol|2017-04-01 13:34|0|6|"Que bien en mi tierra y no puedo ir Verti lo siento perdóname beso adara"||||"848136503133962240"|https://twitter.com/ClubAdarayPol/status/848136503133962240
mariogimeno|2017-03-30 13:18|0|0|"He rellenado todo el cuestionario con mis datos personales, elaborado oferta y aceptado la de VERTI .Hasta ahí bien"||||"847407759385444352"|https://twitter.com/mariogimeno/status/847407759385444352
aytugarospe|2017-03-30 08:46|0|1|"Otra vez se os va la pinza con el sonido de los anuncios, sobre todo el de Verti . Una cosa que esté bien pliz"||||"847339126823174147"|https://twitter.com/aytugarospe/status/847339126823174147
camille_liber|2017-03-22 13:16|0|0|"#porno #videos Une cochonne bien experte - Dans cette superbe vidéo en 3D intégral, une coquine aux seins verti ... http:// ow.ly/mERE50alOgq"|||#porno #videos|"844523275225059329"|https://twitter.com/camille_liber/status/844523275225059329
pagepute|2017-03-22 12:32|0|0|"#amateur #sexe Une cochonne bien experte - Dans cette superbe vidéo en 3D intégral, une coquine aux seins verti ... http:// ow.ly/Ki5k50alK9f"|||#amateur #sexe|"844511987656806400"|https://twitter.com/pagepute/status/844511987656806400
Martacardoso78|2017-03-07 14:03|0|0|"@pabloalboran Feliz martes mi precioso ME haces tan feliz y verti asi BIEN y feliz #AlboránMásCerca ME haces suspirar de amor Dios te cuide pic.twitter.com/ONXIAy3uAX"||@pabloalboran|#Albor|"839099258771030017"|https://twitter.com/Martacardoso78/status/839099258771030017
