username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
Coachverti|2017-08-07 20:34|0|0|"Lo único que tiene de bueno Fox, es lo pendejo, por esa razón no tiene consciencia de nada, "ni suda ni se acongoja ""||||"894627933796552707"|https://twitter.com/Coachverti/status/894627933796552707
IJorgeLuis_|2017-07-23 23:20|2|3|"Nunca vertí mi comentario si Neymar se iba o quedaba del Barça. Si esos posts de Piqué son ciertos, pues que bueno . Que siga la MSN."||||"889233748088238080"|https://twitter.com/IJorgeLuis_/status/889233748088238080
Cynthicam|2017-06-18 07:44|0|0|"Bueno , mis comentarios ya los vertí en esta red social"||||"876314595895508993"|https://twitter.com/Cynthicam/status/876314595895508993
PainlessQQ|2017-05-06 01:10|0|0|"que bueno es verti , ahora me dan ganas de spamear ahri wtf"||||"860632777426952192"|https://twitter.com/PainlessQQ/status/860632777426952192
Fatii99_ng|2017-04-17 15:01|1|1|"Sabéis la quedada ésta para llorar que anuncia verti seguros? Bueno , creo que la podemos hacer antes de mañana jeje"||||"853956638025412608"|https://twitter.com/Fatii99_ng/status/853956638025412608
Bonestty|2017-03-30 15:54|0|0|"[ #Pocionestty ] < Cuando la vi verde traslúcida, cogí un frasco de 5 ml y vertí en él la poción que acababa de preparar. - Bueno , sólo >"|||#Pocionestty|"847446912332554240"|https://twitter.com/Bonestty/status/847446912332554240
MiliVillalba__|2017-03-22 23:32|0|0|"ah bueno jaja viene verti también"||||"844678169634443264"|https://twitter.com/MiliVillalba__/status/844678169634443264
delzilenejgui30|2017-02-10 01:22|0|1|"Mi vida! Es maravilloso Vertí aquí! Que bueno que te salio todo bien! Te amo. https:// twitter.com/victoriaruffo3 1/status/829844751037788161 …"||||"829847989296431105"|https://twitter.com/delzilenejgui30/status/829847989296431105
ruiz_celi|2017-01-30 16:34|0|0|"No tengo vertigo, no tengo vertigo, no tengo vertiBUENO SI. pic.twitter.com/DfO3V4drlB"||||"826091227313483776"|https://twitter.com/ruiz_celi/status/826091227313483776
Mark42sl2|2017-01-29 21:52|0|0|"< nevera donde está la botella térmica?” respondió Happy, mi guarda espaldas- Sí bueno , eso- Me serví una taza de café y vertí >"||||"825808986465251333"|https://twitter.com/Mark42sl2/status/825808986465251333
