username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
nevicannesser|2017-07-22 13:41|0|0|"Si vas a contratar seguro en #verti usa mi codigo! N104999N08405Y #seguro #coche"|||#verti #seguro #coche|"888725681584164864"|https://twitter.com/nevicannesser/status/888725681584164864
vertiseguros|2017-07-18 11:30|1|1|"Ahorra con la garantía de tu coche en Verti y que las palabras no se las lleve el viento. #UtilizaLaCabeza http:// bit.ly/2uA94n1 pic.twitter.com/LlOUUhYjEG"|||#UtilizaLaCabeza|"887243275844898818"|https://twitter.com/vertiseguros/status/887243275844898818
OscarRodridecas|2017-07-15 01:06|0|0|"Una vergüenza de seguro VERTI . Cuatro meses después de un siniestro, y sin coche , sin indemnización, sin ayuda ni apoyo.............NOVERTI"||||"885998903161737217"|https://twitter.com/OscarRodridecas/status/885998903161737217
fjpago|2017-07-07 15:53|0|0|"Tengo dos seguros de hogar y uno de coche con #Verti . El año pasado pagué por uno de los seguros de vivienda 133... http:// fb.me/51J45OZJ5"|||#Verti|"883323023364947968"|https://twitter.com/fjpago/status/883323023364947968
pormemecom|2017-06-20 09:50|1|0|"Y ahora a cruzar los dedos con el seguro del coche - http:// buff.ly/2tnnAdN #carretera #planes #segurodecoche #verti #mapfre #Accidente pic.twitter.com/DlteEM63Mj"|||#carretera #planes #segurodecoche #verti #mapfre #Accidente|"877071127809544192"|https://twitter.com/pormemecom/status/877071127809544192
vertiseguros|2017-06-12 13:30|0|1|"Una piedrecita fastidia un viaje. En Verti arreglamos la luna de tu coche sin afectar a tu seguro. #UtilizaLaCabeza http:// ow.ly/ynny30cvGCl pic.twitter.com/mvvSWDGA1b"|||#UtilizaLaCabeza|"874227351017672705"|https://twitter.com/vertiseguros/status/874227351017672705
vertiseguros|2017-05-16 14:00|1|2|"Si te quedas sin coche , no hagas acrobacias para volver a casa. En Verti te asistimos desde el Km 0 #UtilizaLaCabeza http:// ow.ly/K7aN30bLsUc pic.twitter.com/z6PQyaoMpW"|||#UtilizaLaCabeza|"864450458152300544"|https://twitter.com/vertiseguros/status/864450458152300544
pepsiferrari|2017-05-09 19:33|0|0|"Sigo esperando respuesta por parte de verti , los clientes de Alcala de Hres deben saber que solo puedes llevar el coche al centro Mapfre"||||"861997529231224832"|https://twitter.com/pepsiferrari/status/861997529231224832
puesnocaigo|2017-04-28 23:33|0|1|"- He pillao el seguro del coche por 2 euros - Joder! En Verti ? - No, en el desguace"||||"858071667112914944"|https://twitter.com/puesnocaigo/status/858071667112914944
EduCampano|2017-04-25 12:31|0|0|"De #UtilizaLaCabeza al #DolorDeCabeza una vez contratas... #seguros #coche #Verti #peligro"|||#UtilizaLaCabeza #DolorDeCabeza #seguros #coche #Verti #peligro|"856817854976577536"|https://twitter.com/EduCampano/status/856817854976577536
ApuestasFutbole|2017-04-10 16:01|0|0|"Quien tenga pensado hacer el seguro del coche con Verti que me deje un privado y le doy un código descuento de 50 euros"||||"851435079427665920"|https://twitter.com/ApuestasFutbole/status/851435079427665920
vertiseguros|2017-04-03 13:24|0|1|"Si el coche te deja tirado, en Verti te damos asistencia en viaje, desde el Kilómetro 0. #UtilizaLaCabeza http:// bit.ly/2nO6Udi pic.twitter.com/mHCdYFn5kb"|||#UtilizaLaCabeza|"848858631919595520"|https://twitter.com/vertiseguros/status/848858631919595520
kioler81|2017-04-03 12:02|1|1|"Si el coche te deja tirado que tu seguro no sea verti , pq te quedaste sin coche #FelizLunes"|||#FelizLunes|"848838068031422464"|https://twitter.com/kioler81/status/848838068031422464
Valegna|2017-03-30 13:36|0|0|"Alguien pensando en contratar su seguro de coche con #Verti ? Código Plan Amigo: N107849A05902N. Gracias :) #planAmigo #planAmigoVerti"|||#Verti #planAmigo #planAmigoVerti|"847412152512020483"|https://twitter.com/Valegna/status/847412152512020483
straussmaceta|2017-03-27 15:09|0|0|"Promoción en seguros #VERTI con este código: N104122Z07685M #seguros #coche #moto #vida #hogar #oferta #descuento"|||#VERTI #seguros #coche #moto #vida #hogar #oferta #descuento|"846348388115386369"|https://twitter.com/straussmaceta/status/846348388115386369
Perturasoh|2017-03-15 16:23|1|2|"todos mis amigos tienen el seguro del coche en verti es barata"||||"842033610072940545"|https://twitter.com/Perturasoh/status/842033610072940545
