username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
J_Aparici|2016-08-23 04:47|0|1|"Te lo digo yo: te dicen #mentira , se lavan las manos y arreando #verti #seguros #estafa https:// twitter.com/cassanataa/sta tus/741216244070789120 …"|||#mentira #verti #seguros #estafa|"767916047706054656"|https://twitter.com/J_Aparici/status/767916047706054656
J_Aparici|2016-08-23 04:32|0|1|"A mí me tuvieron así DOS MESES en un caso q era blanco y en botella #verti #seguros #estafa https:// twitter.com/J_Aparici/stat us/659362803636162560 … https:// twitter.com/verdumasjl/sta tus/756176328857124864 …"|||#verti #seguros #estafa|"767912430647255040"|https://twitter.com/J_Aparici/status/767912430647255040
J_Aparici|2016-08-23 04:30|0|0|"A mí me dicen q los testigos dicen lo que no dicen, hablando con uno y extrapolando a todos #verti #estafa #mentira https:// twitter.com/miguel_all_sta r/status/758001357915848707 …"|||#verti #estafa #mentira|"767911819700740097"|https://twitter.com/J_Aparici/status/767911819700740097
J_Aparici|2016-08-23 04:27|1|1|"Yo la tuve dos en un caso blanco y en botella. En el último me dicen #mentira y pasan #verti #seguros #estafa https:// twitter.com/alberto_aguca/ status/759453415407771648 …"|||#mentira #verti #seguros #estafa|"767911133936246785"|https://twitter.com/J_Aparici/status/767911133936246785
J_Aparici|2016-08-23 04:26|0|1|"Yo 3 casos con ellos. 1 bien; 1 #incompetentes ; 1 dicen #mentira y pasan. Mala estadística. #Verti #seguros #estafa https:// twitter.com/LeticiaTeboul/ status/760011039077523458 …"|||#incompetentes #mentira #Verti #seguros #estafa|"767910898191200256"|https://twitter.com/J_Aparici/status/767910898191200256
J_Aparici|2016-08-23 04:24|0|1|"Con otros no lo sé pero con #verti ya te digo que sí. De mí se han desentendido con #mentira #estafa https:// twitter.com/mangulo2009/st atus/760923569308196864 …"|||#verti #mentira #estafa|"767910422032842752"|https://twitter.com/J_Aparici/status/767910422032842752
J_Aparici|2016-08-23 04:15|0|0|"Cierto. De mi caso se han desentendido con #mentira #verti #seguros #estafa https:// twitter.com/robertio78/sta tus/451258954715500544 …"|||#mentira #verti #seguros #estafa|"767908107968282624"|https://twitter.com/J_Aparici/status/767908107968282624
J_Aparici|2016-08-23 04:13|1|0|"3 casos con ellos. 1 bien; 1 #incompetentes ; 1 se desentienden con #mentira . Mala stadística #verti #seguros #estafa https:// twitter.com/Atalanta00/sta tus/519473532410273793 …"|||#incompetentes #mentira #verti #seguros #estafa|"767907615221354497"|https://twitter.com/J_Aparici/status/767907615221354497
J_Aparici|2016-08-23 03:58|0|0|"El resultado, #estafa . Se desentienden xq dicen q los testigos no aseguran lo ocurrido y es #falso #verti #seguros https:// twitter.com/J_Aparici/stat us/659374446118117378 …"|||#estafa #falso #verti #seguros|"767903919120982018"|https://twitter.com/J_Aparici/status/767903919120982018
OrteF1|2015-12-30 01:03|0|1|"@LineaDirecta_es @YouTube Toda la gente que me pregunta les digo Verti Mafre Mutua Madrileña etc menos ustedes que son la mayor estafa asegu"||@LineaDirecta_es @YouTube||"681988916979843073"|https://twitter.com/OrteF1/status/681988916979843073
inakinarbona|2015-09-25 07:14|0|0|"@vertiseguros #vertiestafa"||@vertiseguros|#vertiestafa|"647277936593141760"|https://twitter.com/inakinarbona/status/647277936593141760
nurya270886|2014-10-05 00:22|0|1|"@vertiseguros Es de vergüenza lo que hacéis, aun cuando todo esto acabe seguiré poniendo mis quejas contra vosotros.Desaconsejo VERTI , ESTAFA"||@vertiseguros||"518526511276912641"|https://twitter.com/nurya270886/status/518526511276912641
