username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
siento75|2017-04-04 12:06|0|1|"Excelente martes, Verti !!!!"||||"849201415125860352"|https://twitter.com/siento75/status/849201415125860352
MarieBella11|2016-11-27 14:51|0|1|"excelente domingo, Verti"||||"802872541689749504"|https://twitter.com/MarieBella11/status/802872541689749504
deadly_nghtshad|2016-10-10 08:46|0|0|"Ontem disseram-me que eu era excelente mas que nao queriam nada comigo.... verti uma lagrima"||||"785370910362656768"|https://twitter.com/deadly_nghtshad/status/785370910362656768
siento75|2016-10-09 22:20|0|1|"excelente domingo, Verti !"||||"785213352926740480"|https://twitter.com/siento75/status/785213352926740480
siento75|2016-09-22 14:03|0|1|"excelente jueves, Verti !!!!"||||"778927772777508864"|https://twitter.com/siento75/status/778927772777508864
naotenhoestamer|2016-08-24 02:27|0|1|"Adorei, excelente . Quase verti uma lágrima de tão bom que é. https:// twitter.com/PorqueSimOkYa/ status/768151173878743040 …"||||"768243256341725185"|https://twitter.com/naotenhoestamer/status/768243256341725185
siento75|2016-05-04 12:08|0|1|"@EL_Vertiginoso excelente miércoles , Verti !"||@EL_Vertiginoso||"727802161606823936"|https://twitter.com/siento75/status/727802161606823936
siento75|2016-05-01 16:48|0|1|"@EL_Vertiginoso feliz día, Verti !!!!!!! *sabe que ganaría el desafío* Qué tengas un excelente domingo, Bombonazo"||@EL_Vertiginoso||"726785353139417088"|https://twitter.com/siento75/status/726785353139417088
siento75|2016-04-24 15:33|0|1|"@EL_Vertiginoso excelente domingo, Verti !!!!!! Fiummm"||@EL_Vertiginoso||"724229672494612482"|https://twitter.com/siento75/status/724229672494612482
siento75|2015-12-14 10:51|0|1|"@EL_Vertiginoso muy buenos días, Verti !!!!!!! Que tengas un excelente lunes"||@EL_Vertiginoso||"676338681460969473"|https://twitter.com/siento75/status/676338681460969473
MarieBella11|2015-11-12 11:08|0|1|"@EL_Vertiginoso volvió el avatar re verti !!!! Hola, Verti ! Excelente jueves!"||@EL_Vertiginoso||"664746537973653504"|https://twitter.com/MarieBella11/status/664746537973653504
siento75|2015-11-10 11:38|0|1|"@EL_Vertiginoso excelente martes, Verti"||@EL_Vertiginoso||"664029264619167744"|https://twitter.com/siento75/status/664029264619167744
siento75|2015-10-11 14:56|0|1|"@EL_Vertiginoso excelente domingo, Verti"||@EL_Vertiginoso||"653192484332376064"|https://twitter.com/siento75/status/653192484332376064
siento75|2015-10-10 16:38|0|1|"@EL_Vertiginoso que tengas un excelente finde, Verti ! Besitos besotes"||@EL_Vertiginoso||"652855809530068992"|https://twitter.com/siento75/status/652855809530068992
siento75|2015-10-09 12:09|0|1|"@EL_Vertiginoso excelente viernes, Verti"||@EL_Vertiginoso||"652425576272293892"|https://twitter.com/siento75/status/652425576272293892
siento75|2015-09-02 12:07|1|2|"@EL_Vertiginoso buenos días, Verti !!!!!! Excelente miéroles!!!!"||@EL_Vertiginoso||"639016781500313600"|https://twitter.com/siento75/status/639016781500313600
siento75|2015-09-01 12:06|0|1|"@EL_Vertiginoso buenos días, Verti !!!! Que tengas un excelente martes"||@EL_Vertiginoso||"638654066604810240"|https://twitter.com/siento75/status/638654066604810240
