username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
VertiMax|2017-08-11 17:12|0|1|"gracias por compartir"||||"896026427073720320"|https://twitter.com/VertiMax/status/896026427073720320
SashaDixit|2017-08-06 14:32|0|1|"Holaa Verti gracias buen día!!"||||"894174264999411712"|https://twitter.com/SashaDixit/status/894174264999411712
gomopin|2017-07-23 20:08|0|1|"@vertiseguros Quiero dar las gracias a Verti x el buen trato y la seriedad con q fui tratado yo y mi familia n el servicio dl 16-7-17 n Leon"||@vertiseguros||"889185540846882817"|https://twitter.com/gomopin/status/889185540846882817
IDragonsSpain|2017-06-30 14:23|9|16|"Los afortunados que verán a Imagine Dragons la semana que viene gracias a Verti Seguros!! pic.twitter.com/O8IZdsdcIw"||||"880763827729690624"|https://twitter.com/IDragonsSpain/status/880763827729690624
dragonsaddicted|2017-06-30 10:15|0|1|"verti me podrías dar una alegría hoy gracias"||||"880701314552004608"|https://twitter.com/dragonsaddicted/status/880701314552004608
agronimer|2017-06-15 12:10|0|0|"@agronimer hace nueva entrega de Maquinaria a #Mallorca FC: Aireadora Redexim Vertí -Drain 7316. Gracias por vuestra confianza. pic.twitter.com/xQqtLdlk0Y"||@agronimer|#Mallorca|"875294355912871940"|https://twitter.com/agronimer/status/875294355912871940
113IvaHernandez|2017-05-30 15:46|0|0|"Gracias Alee Verti http:// fb.me/872uFaZdb"||||"869550659661647874"|https://twitter.com/113IvaHernandez/status/869550659661647874
Edurneazul|2017-05-07 01:00|0|0|"En Facebook vertí la esencia natural de mi yo, de mi vida: una pena anula toda una vida. Gracias a tod@s (puede... http:// fb.me/G4pn6bZZ"||@s||"860992783422824449"|https://twitter.com/Edurneazul/status/860992783422824449
delzilenejgui30|2017-04-26 01:51|0|0|"Ahhhh! Mi vida @victoriaruffo31 me muero por Vertí . Gracias por proporcionarnos tamaña alegría. #AnsiosaPorVerti pic.twitter.com/uiH2H57UA3"||@victoriaruffo31|#AnsiosaPorVerti|"857019140850294784"|https://twitter.com/delzilenejgui30/status/857019140850294784
JulioC_TV|2017-04-22 04:47|0|0|"Amigos, gracias por la ayuda vertí 1 vaso de cloro por cada litro de agua. Uff estaba sin agua hace poco #AhoraNoticias @ahoranoticiasAN"||@ahoranoticiasAN|#AhoraNoticias|"855613893607137280"|https://twitter.com/JulioC_TV/status/855613893607137280
AlbertNeiraC|2017-04-07 13:54|0|0|"@vertiseguros Vamos, que he pagado yo la reparación del otro vehículo. La pintura del lateral. Gracias Verti y agur. #timado"||@vertiseguros|#timado|"850315879854342144"|https://twitter.com/AlbertNeiraC/status/850315879854342144
_JackyTheRipper|2017-04-02 04:51|0|0|"A mí también, era una bruja la que me hizo eso, me sentia chihuahua con ese cuerpo.... gracias por aguantarme - verti los collares--"||||"848367173575753728"|https://twitter.com/_JackyTheRipper/status/848367173575753728
Valegna|2017-03-30 13:36|0|0|"Alguien pensando en contratar su seguro de coche con #Verti ? Código Plan Amigo: N107849A05902N. Gracias :) #planAmigo #planAmigoVerti"|||#Verti #planAmigo #planAmigoVerti|"847412152512020483"|https://twitter.com/Valegna/status/847412152512020483
CADENA100|2017-03-25 23:21|6|33|"¡Muchas gracias ! Nautalia Viajes Verti Seguros Oreo Visionlab Ibudol de Kern Pharma Instax de Fujifilm Centros Único #LaNocheDeCADENA100 pic.twitter.com/3APh9cEQwF"|||#LaNocheDeCADENA100|"845762654107000832"|https://twitter.com/CADENA100/status/845762654107000832
Aguss_Martiinez|2017-03-22 23:30|0|1|"voy con verti , gracias igual"||||"844677668222222336"|https://twitter.com/Aguss_Martiinez/status/844677668222222336
Lulaa_Santos|2017-02-14 01:27|0|0|"Verti te adora. No les des bola a los giles esossss... — Muchas gracias enserio!!!! https:// curiouscat.me/Lulitasantos/p ost/103057559?t=1487032053 …"||||"831298802992676864"|https://twitter.com/Lulaa_Santos/status/831298802992676864
otroenmoto|2017-02-02 13:36|0|5|"Ayer tocó presentar el proyecto http:// OtroEnMoto.com a mis compañeros de #Verti . Gracias por vuestro apoyo pic.twitter.com/A9ZlCnFpBB"|||#Verti|"827133646519820288"|https://twitter.com/otroenmoto/status/827133646519820288
mitoba|2017-01-21 14:55|0|0|"@vertiseguros #verticlientes como pongo una queja por el último taller Verti donde fui? El servicio fue lamentable. Gracias ."||@vertiseguros|#verticlientes|"822804772914954242"|https://twitter.com/mitoba/status/822804772914954242
Aragorntty|2017-01-21 12:57|0|1|"Muchas gracias --Chasqueando los dedos hice aparecer un caldero y Verti el agua del cáliz dentro-- muy bien, veamos ahora [+]"||||"822775041607798784"|https://twitter.com/Aragorntty/status/822775041607798784
vertiseguros|2017-01-10 12:05|1|5|"313 semanas,2190 días,52560 horas,o 6 años juntos. Lo mires como lo mires hoy es un gran día. Mil gracias a todos por formar parte de Verti . pic.twitter.com/svijhToOCw"||||"818775654183370752"|https://twitter.com/vertiseguros/status/818775654183370752
delzilenejgui30|2017-01-07 15:26|5|7|"Me encanta Vertí con esta alegría, esta alegría que contagia a todos! @victoriaruffo31 gracias por estar y ser quien eres mi señora bonita. pic.twitter.com/l2uDqMcMYE"||@victoriaruffo31||"817739195905085443"|https://twitter.com/delzilenejgui30/status/817739195905085443
paul25001|2017-01-06 21:36|0|0|"muy bien Tito Gracias y en la tuya ?? Yo hay pedido verti por Bona sort aquesta Temporada q empieza saludos pic.twitter.com/yMJOOJiaLu"||||"817469901388611584"|https://twitter.com/paul25001/status/817469901388611584
delzilenejgui30|2016-12-26 04:03|1|0|"Mi vida! Que alegría Vertí aquí! Gracia por su cariño. Que Papito Dios te cuide siempre https:// twitter.com/victoriaruffo3 1/status/813211950096097280 …"||||"813218747171373056"|https://twitter.com/delzilenejgui30/status/813218747171373056
JoseLeSenpai|2016-12-13 16:07|0|2|"Oficialmente voy a hacer OTP Ahri gracias a @VertigalYT I will do OTP ahri tkx for the video verti ^^ https://www. youtube.com/watch?v=ABYCl3 0S21A&t=629s …"||@VertigalYT||"808689894491099137"|https://twitter.com/JoseLeSenpai/status/808689894491099137
anitarojasg|2016-12-11 15:08|0|0|"Que bien oír al recordado! Sebastian Verti , con su gran Cultura respecto a nuestra Madre! Virgen de Guadalupe! Gracias .:)))"||||"807950119786213376"|https://twitter.com/anitarojasg/status/807950119786213376
WanchyMedina|2016-11-23 18:40|0|2|"Gracias @marvel005 por recordar que en el #EstadioFranciscoMicheli restablecieron las ofertas por una queja que vertí #NoTeQuedesCallado pic.twitter.com/OAxLjzqM3l"||@marvel005|#EstadioFranciscoMicheli #NoTeQuedesCallado|"801480545968488448"|https://twitter.com/WanchyMedina/status/801480545968488448
CarlosPinchoPin|2016-11-10 16:31|0|0|"¿Me ayudas? si tienes un seguro con VERTI déjanos aquí tu opinión de esta compañía, gracias . http://www. segurchollo.com/verti-foro-de- seguros-verti-deja-tu-opinion/ … pic.twitter.com/xghtwpJ59C"||||"796737022438346753"|https://twitter.com/CarlosPinchoPin/status/796737022438346753
undivorcio|2016-11-10 16:31|0|0|"¿Me ayudas? si tienes un seguro con VERTI déjanos aquí tu opinión de esta compañía, gracias . http://www. segurchollo.com/verti-foro-de- seguros-verti-deja-tu-opinion/ … pic.twitter.com/jw2DOv19g6"||||"796737020676734976"|https://twitter.com/undivorcio/status/796737020676734976
