username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
SofiiVerti|2017-08-09 21:24|0|0|"No me canso de sacar mal las fotocopias"||||"895365194108588033"|https://twitter.com/SofiiVerti/status/895365194108588033
RedRoyerino|2017-08-06 15:21|0|2|"Me he puesto nervioso y hasta he escrito mal el tweet pero que les follen odio el puto anuncio de Verti en Spotify, que hijos de puta"||||"894186695641485312"|https://twitter.com/RedRoyerino/status/894186695641485312
QuilloBolt|2017-07-31 18:15|0|0|"Verti seguro hogar ,no cumple con lo contratado , lo llamas por una avería y sólo saben darte largas ...muy mal @vertiseguros"||@vertiseguros||"892056108935806976"|https://twitter.com/QuilloBolt/status/892056108935806976
juani_verti|2017-07-23 02:12|0|0|"Me gustó un video de @YouTube http:// youtu.be/Ir6k0IMZEhM?a RULETA RUSA CON TOTS GARANTIZADOS! QUE MAL LA PASAS!"||@YouTube||"888914776084107265"|https://twitter.com/juani_verti/status/888914776084107265
LunaticPerson|2017-07-21 22:25|0|0|"Me cago en mi vida con el Verti Go. Nunca lo pasé mal en atracciones, pero en esta..."||||"888495057531174912"|https://twitter.com/LunaticPerson/status/888495057531174912
Raphaelguerraa|2017-07-20 21:46|0|1|"O verti era , seu filho mal criado , andava com o atlas debaixo do braço e o fone ouvindo link park"||||"888123046304907264"|https://twitter.com/Raphaelguerraa/status/888123046304907264
junaimnetz|2017-06-23 21:01|0|0|"Dann einfach mal in die laufenden Fälle schauen und gucken, wo sich die Versicherung ganz offensichtlich vor dem Zahlen drückt. #ProTipp"|||#ProTipp|"878327278165307392"|https://twitter.com/junaimnetz/status/878327278165307392
Bruna_Fernandix|2017-06-10 22:28|0|0|"EU VERTI UMA LÁGRIMA FDS TOU MAL"||||"873638064123514881"|https://twitter.com/Bruna_Fernandix/status/873638064123514881
MaggieRibf|2017-06-01 21:19|0|9|"eu, mal como tudo, chega a minha mae a casa a dizer "queres ir ao sushi?" quase que verti uma lágrima"||||"870359120163065858"|https://twitter.com/MaggieRibf/status/870359120163065858
luciasantosc641|2017-05-26 22:36|0|0|"Hj tudo me corre mal XD verti a porcaria da sopa em cima de mim"||||"868204101229842433"|https://twitter.com/luciasantosc641/status/868204101229842433
vertig0nix|2017-04-09 08:57|1|1|"quelle nicht verti -fiziert.kann das mal jmd prüfen,der dieser sprache mächtig ist? https:// twitter.com/PTreasonReport /status/850210029311414272 …"||||"850965926208053250"|https://twitter.com/vertig0nix/status/850965926208053250
eucapitolina|2017-04-03 00:47|0|0|"mal sabe a humanidade que metade de seus oceanos fui eu que verti , verti de um pranto amargurado"||||"848668348632231938"|https://twitter.com/eucapitolina/status/848668348632231938
xLyannaStark|2017-03-30 17:35|0|0|"// nada, ya Vertí mi bilis por la personal. Ya se me pasara el mal humor"||||"847472469682372608"|https://twitter.com/xLyannaStark/status/847472469682372608
JonasSimoes9|2017-03-19 14:55|0|0|"Só aos encostos verti mais de 1 litro de cerveja, mal empregadinha"||||"843460959901548549"|https://twitter.com/JonasSimoes9/status/843460959901548549
ClubAdarayPol|2017-03-06 20:21|0|0|"@alexms1977 @seoaneruth @EriMarzoli @lakesia27 que bien hablar. adarA yo sufrí mucho Verti y Pol GH estabais mal"||@alexms1977 @seoaneruth @EriMarzoli @lakesia27||"838831878631276545"|https://twitter.com/ClubAdarayPol/status/838831878631276545
Verti_777|2017-02-09 23:33|0|0|"#NowPlaying Mal Bicho de Los Fabulosos Cadillacs ♫ http:// spoti.fi/TGYYY6"|||#NowPlaying|"829820425400090626"|https://twitter.com/Verti_777/status/829820425400090626
whitebound|2017-02-01 03:50|0|1|"Gosto tanto do Verti ... Mesmo jogando mal de Ahri e em outras lanes. Ele é fofo, carismático, e o jeito que ele joga me +"||||"826623636421361664"|https://twitter.com/whitebound/status/826623636421361664
Ayrton1716|2017-01-16 03:40|0|0|"Yo en tu vida sera un mal capitulo ,después no digas que yo no te lo al vertí mi vida"||||"820823049368965120"|https://twitter.com/Ayrton1716/status/820823049368965120
martalopes_7|2016-12-05 20:35|0|0|"Fechei mal a tampa da garrafa do chá e a beber verti uma bela quantidade em cima de mim -.-"||||"805858047117656066"|https://twitter.com/martalopes_7/status/805858047117656066
mitus82|2016-10-22 19:57|0|1|"No está mal el concierto no? #cadena100porellas y Verti vamooooooooos @Barclaycard Center https://www. instagram.com/p/BL39kcHgqg1/"||@Barclaycard|#cadena100porellas|"789888505250013185"|https://twitter.com/mitus82/status/789888505250013185
esperanza_si3|2016-10-18 04:41|0|0|"Que me del Vertí ? Si (y) Que hice feo? si (y) Que tome? si (y) Que baile mal ? Si (y). Xq ud es jaja x lo menos fui ....."||||"788208352736210944"|https://twitter.com/esperanza_si3/status/788208352736210944
Saucedo_Milu|2016-10-12 21:31|0|0|"No te traté mal ni una sola vez, vertí todo mi corazón en ti, baje la guardia, lo juro por dios."||||"786288219092574208"|https://twitter.com/Saucedo_Milu/status/786288219092574208
JUST1NPUT1TA|2016-10-10 05:21|0|0|"Pero yo te quiero tanto que hasta me duele no te trate mal ni una sola vez Vertí todo mi corazón en ti bajé la guardia, Lo juro por dios"||||"785319209903525888"|https://twitter.com/JUST1NPUT1TA/status/785319209903525888
Senfberg|2016-10-10 00:13|0|0|"Ja Verti , lad mich mal ein, dann kannze mal siehen, wie ich dich veränder` ;) @antjeschrupp"||@antjeschrupp||"785241929671962624"|https://twitter.com/Senfberg/status/785241929671962624
Lila_kilmister|2016-10-05 12:47|0|0|"putain meuf trop bizarre qd je suis repartie du verti hier mal de crâne violent + envie de beuj !"||||"783619556732506112"|https://twitter.com/Lila_kilmister/status/783619556732506112
_dstrns|2016-09-28 21:19|0|3|"Que tal el tercer día en madrid verti ? — Mal . Estoy enfermo. He pillado fiebre y estoy ardie... http:// curiouscat.me/Vertigo/post/2 5361872 …"||||"781211779808522240"|https://twitter.com/_dstrns/status/781211779808522240
DYFlores96|2016-07-24 21:23|0|0|"Pero yo te quiero tanto que hasta me duele, no te trate mal ni una sola vez, vertí mi corazon en ti, baje la guardia lo juro por dios."||||"757295151949619201"|https://twitter.com/DYFlores96/status/757295151949619201
marcelinebauti|2016-07-23 23:14|0|0|"Mario por favor ve al doctor te lo suplico ya es la 3 vez que te sientes mal me duele Vertí hací me preocupas mucho amor"||||"756960601360904192"|https://twitter.com/marcelinebauti/status/756960601360904192
LizieShadows|2016-07-07 22:36|0|0|"Me hace gracia el anuncio de verti . Es como: oye no subas fotos tuyas no vaya a ser que la gente piense mal de ti."||||"751152886244048896"|https://twitter.com/LizieShadows/status/751152886244048896
DaniEsparzaa|2016-07-02 16:47|0|0|"Que en paz descanse don Vertí !! La gente ya no tiene piedad por nadie! No les deseo él mal , pero merecen lo peor!!"||||"749253093603307520"|https://twitter.com/DaniEsparzaa/status/749253093603307520
meliinevarez|2016-06-21 06:40|0|0|"Menos mal que no olvidadte la mía @Abigailbl20 que bonis fue verti"||@Abigailbl20||"745114226235060225"|https://twitter.com/meliinevarez/status/745114226235060225
prettydip69100|2016-06-14 11:10|0|0|"La justice est la distance entre le bien et le mal tant bien que mal , l'écart entre vice et verti https:// twitter.com/nightstandFR/s tatus/742387440334327808 …"||||"742645376440754176"|https://twitter.com/prettydip69100/status/742645376440754176
onlinesale700|2016-05-16 16:31|0|0|"Schaut euch NZI 150207G046 Verti B Motorradhelm, Schwarz, Größe:... von NZI mal an! #cruisin #biker #bigsale http:// amzn.to/1TVAya8"|||#cruisin #biker #bigsale|"732216936977813504"|https://twitter.com/onlinesale700/status/732216936977813504
juani_verti|2016-05-01 05:01|0|0|"Me gustó un video de @YouTube de @bystaxx http:// youtu.be/5ERsH6X0ZbY?a LOL ( ͡ʘ ͜ʖ ͡ʘ) PUES NO VA MAL !"||@YouTube @bystaxx||"726607546912526337"|https://twitter.com/juani_verti/status/726607546912526337
JuditBarberaOr|2016-04-28 12:56|0|0|"Els anuncis radiofònics de Verti Seguros són masclistes i de molt mal gust. Potser que s'ho facin mirar! @vertiseguros"||@vertiseguros||"725639711876866048"|https://twitter.com/JuditBarberaOr/status/725639711876866048
JaneRizzoliRAG|2016-04-27 17:41|0|0|"@MauraIsles_RAG +me recogí el pelo en un moño mal hecho, vertí la pintura en el bol, cogí el rodillo y me puse a pintar*"||@MauraIsles_RAG||"725349150129315840"|https://twitter.com/JaneRizzoliRAG/status/725349150129315840
una_consentidaa|2016-04-19 02:27|0|3|"Odio ver a mi gordo mal por cosas que le al Vertí"||||"722220112149880832"|https://twitter.com/una_consentidaa/status/722220112149880832
NaanoPicciani|2016-04-05 01:31|0|0|"no te trate mal ni una vez, vertí todo mi corazón en ti, baje la guardia lo juro por dios.♪"||||"717132445976543236"|https://twitter.com/NaanoPicciani/status/717132445976543236
SofiaFrgn|2015-12-16 22:44|0|0|"@RepacStanko @NassNassLove tu t'es con verti au mal"||@RepacStanko @NassNassLove||"677242929757429760"|https://twitter.com/SofiaFrgn/status/677242929757429760
SamiNeutron|2015-12-07 19:22|0|0|"@vertiseguros " Verti seguros para clientes a los que podemos tratar mal he insultar sin problemas !""||@vertiseguros||"673930504522096640"|https://twitter.com/SamiNeutron/status/673930504522096640
juani_verti|2015-12-05 03:35|0|0|""Che mal que no nos vamos a ver más...Aja"Come gran amigo"||||"672967402125205504"|https://twitter.com/juani_verti/status/672967402125205504
Saucedo_Milu|2015-11-25 04:57|0|0|"No te trate mal ni una sola vez, vertí todo mi corazón en ti, baje la guardia lo juro por dios"||||"669364333923692544"|https://twitter.com/Saucedo_Milu/status/669364333923692544
