username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
Antonianj|2017-08-10 13:38|0|0|"RAFA, déjate de Verti y vente a una buena compañía con un mejor agente"||||"895610185733091332"|https://twitter.com/Antonianj/status/895610185733091332
vertiseguros|2017-08-08 12:30|1|1|"En Verti no negociamos tu precio inicial ni tu renovación. #UtilizaLaCabeza con el mejor precio desde el principio. ¡Feliz día de los gatos! pic.twitter.com/EOAMmYYWia"|||#UtilizaLaCabeza|"894868305705443330"|https://twitter.com/vertiseguros/status/894868305705443330
okRaPuN|2017-07-22 15:34|0|0|"Hola verti !si hay cada loc@suelto mejor dejarlos solos q el viento los amontona"||@suelto||"888754212699611138"|https://twitter.com/okRaPuN/status/888754212699611138
everyswing|2017-07-21 13:57|1|2|"Hoy es el #DíaMundialDelPerro yno hay mejor momento para recordar esta pieza para Verti Seguros . ¡Cuídalos! https:// youtu.be/Oc3S-rPVizk"|||#D|"888367362977779712"|https://twitter.com/everyswing/status/888367362977779712
cocoevita738|2017-06-08 10:39|0|0|"Que ojos tan gran|es tienes! Para verti mejor Que orejotas! Para escucharte mejor Que iPhone :an grande! Es en iPad, estupido!"||||"872734906409005058"|https://twitter.com/cocoevita738/status/872734906409005058
lacocoamora613|2017-06-07 23:09|0|0|"Que ojos tan grandes tienes! Para verti mejor Que orejotas! Para escucharte mejor Que iPhone :an grande! Es un iPad, estupido!"||||"872561179327168513"|https://twitter.com/lacocoamora613/status/872561179327168513
vertiseguros|2017-05-08 11:59|1|3|"Hazle caso a los gatitos, en Verti te ofrecemos el mejor precio desde el principio, sin negociar. #UtilizaLaCabeza http:// bit.ly/2pVRd6J pic.twitter.com/b20iuiBuXU"|||#UtilizaLaCabeza|"861521052467425281"|https://twitter.com/vertiseguros/status/861521052467425281
vertiseguros|2017-03-28 13:08|0|0|"¿Utilizas la cabeza solo para llevar sombrero? Mejor #UtilizaLaCabeza para contratar tu seguro con Tarifa Web de Verti ¡y ahorra! pic.twitter.com/gI6s7I1dQW"|||#UtilizaLaCabeza|"846680272829530112"|https://twitter.com/vertiseguros/status/846680272829530112
nuevahervia722|2017-02-07 15:18|0|0|"Que ojos tan grandes tienes! Para verti mejor Que orejotas! Para escu;harte mejor Que iPhone tan grande! Es un iPad, estupido!"||||"828971112927223809"|https://twitter.com/nuevahervia722/status/828971112927223809
arizafemirene8|2017-02-03 07:54|0|0|"La mejor manera de amhrte es verti entre sus brazos."||||"827409861755285504"|https://twitter.com/arizafemirene8/status/827409861755285504
vertiseguros|2017-01-23 14:26|0|0|"¿A veces tu cabeza se pierde entre grandes reflexiones? Mejor #UtilizaLaCabeza para contratar tu seguro con Tarifa Web de Verti , ¡y ahorra! pic.twitter.com/SeOQLtcK2K"|||#UtilizaLaCabeza|"823522367196504065"|https://twitter.com/vertiseguros/status/823522367196504065
juani_verti|2017-01-02 18:50|0|0|"Me gustó un video de @YouTube de @alphasniper97 http:// youtu.be/xcKCCV_2Y9o?a MI TIRO MÁS DIFÍCIL COMO UN FRANCOTIRADOR en el MEJOR"||@YouTube @alphasniper97||"815978515904561152"|https://twitter.com/juani_verti/status/815978515904561152
vertiseguros|2016-12-30 16:15|0|1|"Para terminar y empezar el año de la mejor y única manera posible, ya sabes: #UtilizaLaCabeza ¡Feliz 2017 de todo el equipo de Verti ! pic.twitter.com/bxLVLzvdgf"|||#UtilizaLaCabeza|"814852486649540608"|https://twitter.com/vertiseguros/status/814852486649540608
laaarez|2016-12-27 23:15|0|0|"Podrán hablar toda la mierda de el, pero no hay mejor Ahri que la de Verti ."||||"813870982612058117"|https://twitter.com/laaarez/status/813870982612058117
delzilenejgui30|2016-12-03 23:36|0|0|"Que alegrías me das en Vertí siendo apapachada! Corazón hermoso @braviela tu mereces lo mejor del mundo. https:// twitter.com/Hectforero/sta tus/804917841954639872 …"||@braviela||"805178839274061824"|https://twitter.com/delzilenejgui30/status/805178839274061824
kioler81|2016-12-02 11:30|0|0|"sera que verti trata mejor a los no clientes, pq a los demas como perros"||||"804633876530335744"|https://twitter.com/kioler81/status/804633876530335744
delzilenejgui30|2016-11-23 15:19|0|2|"Mi vida @victoriaruffo31 Quiero desearte lo mejor del día,que lo pases genial y q sobre todo no dejes de sonreír!Quiero Vertí feliz siempre. pic.twitter.com/136szUFlt8"||@victoriaruffo31||"801429896841007104"|https://twitter.com/delzilenejgui30/status/801429896841007104
11a2d7b0a5384eb|2016-10-26 00:02|0|0|"el mejor capiiiii de la hestoria es un pelasr qe yo vivi para verti jugar saldos de tetouan marucoss"||||"791037360066691072"|https://twitter.com/11a2d7b0a5384eb/status/791037360066691072
juani_verti|2016-10-06 01:36|0|0|"Me gustó un video de @YouTube de @bystaxx http:// youtu.be/dlOQwcyzeZk?a LA MEJOR MISION DE CALL OF DUTY! | COD4 REMASTERIZADO CAMPAÑA EN"||@YouTube @bystaxx||"783813255252865025"|https://twitter.com/juani_verti/status/783813255252865025
juani_verti|2016-09-27 01:12|0|0|"Me gustó un video de @YouTube de @bycraftxxyt http:// youtu.be/oA67hD2bxbs?a EL MEJOR RETO DE LA BOTELLA NIVEL DIOS JAMÁS VISTO! BOTTLE"||@YouTube @bycraftxxyt||"780545707161903104"|https://twitter.com/juani_verti/status/780545707161903104
DescuentosVerti|2016-09-14 23:10|0|0|"TARIFA WEB DE VERTI #UTILIZALACABEZA MENOS COSTES PARA NOSOTROS, MEJOR PRECIO PARA TI. Y recuerda hasta 50 EUROS... http:// fb.me/518FwNymK"|||#UTILIZALACABEZA|"776166135075074048"|https://twitter.com/DescuentosVerti/status/776166135075074048
delzilenejgui30|2016-09-06 02:19|2|4|"Es muy gratificante Vertí feliz y orgullosa! @victoriaruffo31 ¡ eres muy especial y te mereces lo mejor ! pic.twitter.com/gdqCjvhlDc"||@victoriaruffo31||"772952201002188800"|https://twitter.com/delzilenejgui30/status/772952201002188800
juani_verti|2016-09-04 22:01|0|0|"Me gustó un video de @YouTube de @thegrefgyt http:// youtu.be/60ULr2V2978?a EL MEJOR VLOG DEL CANAL"||@YouTube @thegrefgyt||"772524966394884096"|https://twitter.com/juani_verti/status/772524966394884096
Pablo2528|2016-08-20 22:52|0|0|"Ah, y @LineaDirecta_es una mierda. 10 minutos intentando llamar para pedir una grúa y no nos lo cogen. Verti mejor ."||@LineaDirecta_es||"767102115080769537"|https://twitter.com/Pablo2528/status/767102115080769537
Xosevs|2016-08-11 00:36|2|3|"Infame la asistencia del #racc horas esperando al telefono, cargos de asaltante y te dejan tirado, seguro que mejor #verti #allianz #zurich"|||#racc #verti #allianz #zurich|"763504398463098885"|https://twitter.com/Xosevs/status/763504398463098885
Sidneytty|2016-08-05 18:26|0|1|"salió hacia mi pero no la Tomé entonces vertí agua en los ojos de Nefertari - que tal mejor ?"||||"761599330373537796"|https://twitter.com/Sidneytty/status/761599330373537796
