username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
panacota|2017-07-10 19:30|0|1|"#verticlientes Lamentable Verti , abandonóo total del cliente y encima te empeoran el rating por un parte sin culpa encarecido el cambio...."|||#verticlientes|"884464853833875457"|https://twitter.com/panacota/status/884464853833875457
Luisa__1893|2017-07-05 01:04|0|1|"Tenho de confessar que verti algumas lágrimas quando vi que o José Angel não fazia parte do plantel esta época, estou destroçada."||||"882374684112769024"|https://twitter.com/Luisa__1893/status/882374684112769024
IDragonsSpain|2017-06-24 14:01|0|3|"Si. A parte de dar las invitaciones en gran via está el concurso de verti (de momento)"||||"878583809490419713"|https://twitter.com/IDragonsSpain/status/878583809490419713
carlospastor29|2017-06-24 11:04|0|1|"Esto va a parte del concurso de Verti ???"||||"878539308696825856"|https://twitter.com/carlospastor29/status/878539308696825856
EarthDayItalia|2017-06-09 16:49|3|4|"F. Verti @religions4peace : Portiamo speranza che parte dal profondo ma dobbiamo cambiare stile di vita #g7ambiente #all4thegreen #9giugno pic.twitter.com/zURREwYYfk"||@religions4peace|#g7ambiente #all4thegreen #9giugno|"873190298280767488"|https://twitter.com/EarthDayItalia/status/873190298280767488
catargaryen|2017-06-04 23:10|0|2|"Vi a parte final do concerto da Ariana Grande em direto e verti uma lágrima"||||"871474162560323587"|https://twitter.com/catargaryen/status/871474162560323587
pepsiferrari|2017-05-09 19:33|0|0|"Sigo esperando respuesta por parte de verti , los clientes de Alcala de Hres deben saber que solo puedes llevar el coche al centro Mapfre"||||"861997529231224832"|https://twitter.com/pepsiferrari/status/861997529231224832
catariina_17|2017-03-11 01:30|0|0|"Quase que verti uma lagrima pela demonstração de afeto por parte do meu namorado hj"||||"840359137238237184"|https://twitter.com/catariina_17/status/840359137238237184
DavidLeonorM|2017-03-10 13:35|4|3|". @MAPFRE lanzará Verti en Estados Unidos en la segunda parte del año. @ahuertasmejias en #AccionistasMAPFRE"||@MAPFRE @ahuertasmejias|#AccionistasMAPFRE|"840179376054521858"|https://twitter.com/DavidLeonorM/status/840179376054521858
conchycm71|2017-02-15 13:14|1|1|"La compañía de seguros #Verti con el primer parte de #Accidente te quitan la póliza contratada aunque la tengas vigente #PocaVergüenza pic.twitter.com/kzApToSRHP"|||#Verti #Accidente #PocaVerg|"831839156926021632"|https://twitter.com/conchycm71/status/831839156926021632
amorimtty|2017-02-05 17:22|0|0|"#Pocionestty + hasta la parte de atrás. Un bar Muggle con una mujer de anfitriona aparecieron ante mis ojos. Pedí dos bebidas, y vertí en +"|||#Pocionestty|"828277607254863872"|https://twitter.com/amorimtty/status/828277607254863872
vertiseguros|2017-01-10 12:05|1|5|"313 semanas,2190 días,52560 horas,o 6 años juntos. Lo mires como lo mires hoy es un gran día. Mil gracias a todos por formar parte de Verti . pic.twitter.com/svijhToOCw"||||"818775654183370752"|https://twitter.com/vertiseguros/status/818775654183370752
xScarlettAx|2017-01-07 21:39|0|1|"(—Re que yo le vertí la poción. — Espera a que su parte de la broma comience.)"||||"817833029175480322"|https://twitter.com/xScarlettAx/status/817833029175480322
flxwergxrlsp|2016-11-11 22:58|0|0|"»botellita de agua y vertí parte del contenido en la tierra de la maceta. Con cuidado, pasé las manos sobre la planta, que»"||||"797196717624094720"|https://twitter.com/flxwergxrlsp/status/797196717624094720
shesjustnonstop|2016-10-22 15:37|0|0|"por sinal a parte de wait for it no hamildoc eu verti lágrimas sim"||||"789822998345908225"|https://twitter.com/shesjustnonstop/status/789822998345908225
catowowman|2016-10-18 19:51|0|7|"dos trampos que dão orgulho, parte 1: verti para o inglês o livro do meu amado @wigvan e ele está aqui: https://www. amazon.com.br/Fresh-Paint-En glish-Wigvan-ebook/dp/B01LXLHIYD/ref=sr_1_1?ie=UTF8&qid=1476812849&sr=8-1&keywords=wigvan …"||@wigvan||"788437467271667712"|https://twitter.com/catowowman/status/788437467271667712
Sevillafc___|2016-09-25 13:59|0|0|"El pase hacia ninguna parte : El Sevilla jugó a tenerla, pero no la tuvo para jugar, pues fue incapaz de verti ... http:// bit.ly/2d9wNO3"||||"780013816406872065"|https://twitter.com/Sevillafc___/status/780013816406872065
CarlosPElCholo|2016-09-21 19:18|0|0|"Golazoooo! De Verti ,pone en ventaja a bologna en la primera parte . @roberthangulo @dbpayares @ElNegrovicto @DuvansPea @yostindavid2904"||@roberthangulo @dbpayares @ElNegrovicto @DuvansPea @yostindavid2904||"778644698416177152"|https://twitter.com/CarlosPElCholo/status/778644698416177152
KErotokritou|2016-09-14 07:51|0|0|"ETSI gia na mas mpi kala I mera parte kai enaan aneomeno verti alaniari. Pame gia 3o kafe kai akoma i mera den... http:// fb.me/5vDm32xiW"||||"775935007927914496"|https://twitter.com/KErotokritou/status/775935007927914496
Jose_Lamperouge|2016-08-31 00:51|0|0|"¿Crees que el thrash tiene su origen en el punk? — En parte (Misfits, Ramones... ), la otra gran verti ... https:// curiouscat.me/Jose_Lamperoug e/post/12858938 …"||||"770755793314574336"|https://twitter.com/Jose_Lamperouge/status/770755793314574336
_ragnarocker_|2016-08-27 04:22|0|0|"fazemos parte das pessoas que gostas,até verti uma lágrima "Ser rude"fuck that se não gostas dás unfollow mesmo"||||"769359372526944256"|https://twitter.com/_ragnarocker_/status/769359372526944256
itzFantaSea|2016-08-12 16:06|0|0|"a última parte foi boa verti lágrima"||||"764100718261403648"|https://twitter.com/itzFantaSea/status/764100718261403648
barbaralangdon_|2016-08-10 02:22|0|0|"Verti a Coca-Cola,de tantas voltas qud dei na cadeira,na parte do beijo."||||"763168556615884800"|https://twitter.com/barbaralangdon_/status/763168556615884800
Juan_Verti|2016-08-03 03:56|1|1|"Segunda parte !!!!!!!!1 pic.twitter.com/LkDPc2Wn7w"||||"760655607812718592"|https://twitter.com/Juan_Verti/status/760655607812718592
JuanmaRubio8|2016-07-20 19:49|0|0|"Impresionante el vídeo,tras tragarme los 2anuncios previos.A Bezoya y Verti ,por mi parte ,q les den por culo,les haré boikot."||||"755821914074079232"|https://twitter.com/JuanmaRubio8/status/755821914074079232
RPajare|2016-06-19 15:47|0|0|"@vertiseguros xq me sube casi 100 euros sin dar un parte , eso significa bay bay verti esto no es lógico xla mitad lo tengo en otra compañía"||@vertiseguros||"744527013948628992"|https://twitter.com/RPajare/status/744527013948628992
ghanjastyle|2016-04-28 22:04|0|0|"Esta tarde necesitaba hablar con mi seguro de coche @verti por un parte y sigo esperando que me llame le gestor. Mola más el 902, eh?"||@verti||"725777796736405505"|https://twitter.com/ghanjastyle/status/725777796736405505
SamJazz13|2016-04-26 09:48|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/232ILvC"||||"724867667539181568"|https://twitter.com/SamJazz13/status/724867667539181568
henriqueleite55|2016-04-26 09:47|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/1MV5wjf"||||"724867507262201856"|https://twitter.com/henriqueleite55/status/724867507262201856
RetwetBeta|2016-04-26 09:46|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/1MV5wjf"||||"724867258141532160"|https://twitter.com/RetwetBeta/status/724867258141532160
mattemorrissey|2016-04-26 09:46|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/1MV5wjf"||||"724867136246714372"|https://twitter.com/mattemorrissey/status/724867136246714372
herbertbeta|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/1MV5wjf"||||"724867062498209792"|https://twitter.com/herbertbeta/status/724867062498209792
ddlwill|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/1qOCp6O"||||"724867045146386433"|https://twitter.com/ddlwill/status/724867045146386433
mariogomesrodri|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/23Y11w4"||||"724866977232199680"|https://twitter.com/mariogomesrodri/status/724866977232199680
mariogomesrodri|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/1MV5wjf"||||"724866975185391616"|https://twitter.com/mariogomesrodri/status/724866975185391616
CestasdeCafe|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/232ILvC"||||"724866941979090945"|https://twitter.com/CestasdeCafe/status/724866941979090945
VeronicaCestas|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/232ILvC"||||"724866934739750912"|https://twitter.com/VeronicaCestas/status/724866934739750912
saraiva2017|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/232ILvC"||||"724866912115675137"|https://twitter.com/saraiva2017/status/724866912115675137
SuelenaTheodoro|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/232ILvC"||||"724866875570671616"|https://twitter.com/SuelenaTheodoro/status/724866875570671616
UiaraWictovik|2016-04-26 09:45|0|0|"Singapur y el mito de Confucio: Los expertos occidentales han atribuido tradicionalmente buena parte del verti ... http:// bit.ly/232ILvC"||||"724866856973164544"|https://twitter.com/UiaraWictovik/status/724866856973164544
tiagosks|2016-04-18 02:09|0|3|"Esteve a dar o Velocidade Furiosa 7 na TV durante a tarde e quase verti uma lágrima na parte final."||||"721853220784631808"|https://twitter.com/tiagosks/status/721853220784631808
NoRoleMarlenez|2016-03-29 02:11|1|0|"Verti uma lágrima, very emocionante a parte da chula https:// twitter.com/_ritadcassia/s tatus/714604749153243136 …"||||"714605807149690880"|https://twitter.com/NoRoleMarlenez/status/714605807149690880
DevilCondemned|2016-03-21 01:40|0|0|"@AuroraDeMartel_ Accede tú,yo cumpliré con mi parte después_Para demostrar mi buena voluntad mordí mi muñeca y verti la sangre en un tarro_"||@AuroraDeMartel_||"711713990007726081"|https://twitter.com/DevilCondemned/status/711713990007726081
delatorrefabre|2016-03-09 16:04|0|0|"@beltranperez11 me preocupa menos,porque fui parte activa, la seguridad en el trabajo, que el machismo vertí ético de "la mate pk era mía !!"||@beltranperez11||"707582831569080320"|https://twitter.com/delatorrefabre/status/707582831569080320
noeruyamaguchi|2016-01-19 14:43|0|0|"è quel periodo in cui verti nella parte ODIO PROFONDO della bilancia dei personaggi che non ti sono particolarmente simpatici"||||"689443090298339328"|https://twitter.com/noeruyamaguchi/status/689443090298339328
tongasmdq|2015-12-08 05:08|0|0|"Verti contame para que necesitas inversion ?? contame y decis que lo dejemos gobernar,que parte no entendes que ya te saco plata de bolsillo"||||"674078129426690048"|https://twitter.com/tongasmdq/status/674078129426690048
jose_vicioso|2015-11-26 09:23|0|1|"Hola! @vertiseguros Hace más de 1 mes que di parte de un siniestro. Con parte amistoso y el otro coche tb de Verti , ¿por qué tardáis tanto?"||@vertiseguros||"669793562242994176"|https://twitter.com/jose_vicioso/status/669793562242994176
F_lagata|2015-11-16 16:40|0|0|"@vertiseguros tres semanas desde q me quemasteis la moto y sin solución ni interés de vuestra parte . Verti siniestrando a sus asegurados."||@vertiseguros||"666279763355574273"|https://twitter.com/F_lagata/status/666279763355574273
Benettemblador|2015-11-13 13:31|0|2|"@vertiseguros incidencia? Me habéis echado sin ningún parte ! Porque tenía los 5 amigos! Y me salía gratis! Que sin "" Verti "" soys!"||@vertiseguros||"665144916222320640"|https://twitter.com/Benettemblador/status/665144916222320640
ABlackAP|2015-10-09 14:30|0|0|">> bolso, y vertí parte de su contenido en sus cuencas sangrantes y vacías. No tardó en perder el conocimiento debido al dolor. >>"||||"652461148147707904"|https://twitter.com/ABlackAP/status/652461148147707904
