username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
SofiiVerti|2017-08-12 16:22|0|0|"Frío y maratón del tuyo. Sábado perfecto"||||"896376236984995841"|https://twitter.com/SofiiVerti/status/896376236984995841
Sora_Rubiuh|2017-06-15 00:36|1|1|"Jo: joder macho...- abri la nevera y ahí estaba...- perfecto -...to tome con los guantes y lo lleve a la mesa- un poquito y ya- vertí el"||||"875119801403809793"|https://twitter.com/Sora_Rubiuh/status/875119801403809793
pcfixmardel|2016-06-27 22:57|0|0|"Este tobogán de cristal a 300 metros de altura es perfecto para saciar tus ansias de vérti … http:// ift.tt/28WAXGq pic.twitter.com/Q5MeIlaD8d"||||"747534289831661569"|https://twitter.com/pcfixmardel/status/747534289831661569
Bethovenz|2016-06-27 11:51|0|0|"Este tobogán de cristal a 300 metros de altura es perfecto para saciar tus ansias de vérti … http:// bit.ly/29flenJ pic.twitter.com/zArm54bf4n"||||"747366677797535744"|https://twitter.com/Bethovenz/status/747366677797535744
DiarioTic2Cero|2016-06-27 11:47|0|0|"Este tobogán de cristal a 300 metros de altura es perfecto para saciar tus ansias de vérti … http:// ift.tt/291Eqcm pic.twitter.com/BvFulhC745"||||"747365669004533760"|https://twitter.com/DiarioTic2Cero/status/747365669004533760
djcandido|2016-06-27 11:42|0|0|"Este tobogán de cristal a 300 metros de altura es perfecto para saciar tus ansias de vérti … http:// es.gizmodo.com pic.twitter.com/z6QC7ZZlWS"||||"747364525448499200"|https://twitter.com/djcandido/status/747364525448499200
iPhone6Vzla|2016-06-27 11:39|0|0|"Este tobogán de cristal a 300 metros de altura es perfecto para saciar tus ansias de vérti … http:// ift.tt/291Eqcm pic.twitter.com/cD1Y3TC9KU"||||"747363796096778241"|https://twitter.com/iPhone6Vzla/status/747363796096778241
fmartinreyes|2016-06-27 11:38|0|0|"Este tobogán de cristal a 300 metros de altura es perfecto para saciar tus ansias de vérti … http:// bit.ly/293VH50 pic.twitter.com/QepYizxgMl"||||"747363455821307904"|https://twitter.com/fmartinreyes/status/747363455821307904
805_mf|2016-01-05 09:16|0|0|"@Verti _Gurls ,..Eso es lo perfecto"||@Verti||"684287269562273793"|https://twitter.com/805_mf/status/684287269562273793
Hawks_FC|2015-05-28 20:29|2|3|"Westleigh Park pitch looking good, within the next 10 days we will Verti drain and triple reseed again, perfecto pic.twitter.com/QvHJkfgpTn"||||"603991500268113920"|https://twitter.com/Hawks_FC/status/603991500268113920
SixFlagsMexico|2015-05-20 03:18|6|22|"Velocidad, altura y vértigo, el mix perfecto en una sola imagen. Conoce nuestros...: Velocidad, altura y vérti ... http:// on.fb.me/1FtV0t7"||||"600833061354246144"|https://twitter.com/SixFlagsMexico/status/600833061354246144
PansyP_rld|2015-04-01 14:45|0|0|"@pottersuits +sala común de Gryffindor. Perfecto . Me puse disimuladamente un guante y vertí el recipiente sobre él.+"||@pottersuits||"583248711771361280"|https://twitter.com/PansyP_rld/status/583248711771361280
virgi95tt|2014-07-19 22:05|0|0|"Perfecto día por Aqualandia , #verti -go!!"|||#verti|"490588367588188160"|https://twitter.com/virgi95tt/status/490588367588188160
emisosa_7|2014-06-25 02:06|0|0|"Que bien me viene hacer fisico en gimnasia. Complemento perfecto para mejorar la verti"||||"481589100764749824"|https://twitter.com/emisosa_7/status/481589100764749824
MrFieldsMex|2014-04-09 04:25|0|0|"Después de un vertí corte un arrope de arena Silica es lo mejor para evitar el tatch y tener un campo perfecto pic.twitter.com/U1aJF6hIol"||||"453720271707336705"|https://twitter.com/MrFieldsMex/status/453720271707336705
SunkDevifull|2014-02-20 15:15|0|0|"Un cipote en la Ser diciendo chorradas sobre la compra de Whatsapp, termina y un anuncio de Verti dice: "que no cuenten rollos", perfecto xd"||||"436504406591545344"|https://twitter.com/SunkDevifull/status/436504406591545344
asmoonbeam|2013-09-08 03:20|0|0|"Verti no va a venir. ¡ Perfecto ! *sarcasmo*"||||"376515349107077121"|https://twitter.com/asmoonbeam/status/376515349107077121
gorkiux|2013-08-19 20:16|0|0|"Dia perfecto en aqualandia benidorm. verti ...goooo impresionante tobogan igual q big bang"||||"369523366517944322"|https://twitter.com/gorkiux/status/369523366517944322
ghnvnzla|2013-04-03 22:23|0|0|"Las mejores fotos tomadas en el momento perfecto : En el mundo de la fotografía, existe una verti ... http:// bit.ly/12hZFIL #FF #Noticias"|||#FF #Noticias|"319545834461089792"|https://twitter.com/ghnvnzla/status/319545834461089792
_lezama95|2013-02-27 18:36|0|0|"@ZakeWasHere Perfecto loco:3 , entrena pues para el verti ."||@ZakeWasHere||"306820205164765184"|https://twitter.com/_lezama95/status/306820205164765184
mdisein|2013-02-27 10:54|0|0|"#Decoracion Zapatos en perfecto orden: Si os gustan los zapatos y sois unas enamoradas de los tacones de verti ... http:// bit.ly/XgZ6O0"|||#Decoracion|"306703841603231744"|https://twitter.com/mdisein/status/306703841603231744
gonzalolim|2013-02-20 00:09|0|0|"Borracho! RT @chiraoka RT @kno_z no había alcohol, así que vertí un pelo de Stoli Elit en mi corte y cicatrizó perfecto . () es SALVADOR."||@chiraoka @kno_z||"304004851782782976"|https://twitter.com/gonzalolim/status/304004851782782976
kno_z|2013-02-19 17:11|2|0|"Ayer en casa de Javier no había alcohol, así que vertí un pelo de Stoli Elit en mi corte y cicatrizó perfecto . No sólo es rico, es SALVADOR."||||"303899713462222848"|https://twitter.com/kno_z/status/303899713462222848
verti_seguros|2012-10-11 10:56|0|0|"Buenos días ya empieza un día perfecto para perderse en el mundo"||||"256317314511798272"|https://twitter.com/verti_seguros/status/256317314511798272
Pamm_DC|2012-05-06 18:46|0|0|"@lemiketoonto No personalmente, solo te he visto, y Me Parece Perfecto Tienes que ganar el Verti"||@lemiketoonto||"199178367587725312"|https://twitter.com/Pamm_DC/status/199178367587725312
AlamEcheverria|2012-04-27 21:26|0|0|"@MovesLikeRoque vertiperfecto :) jajaja que?"||@MovesLikeRoque||"195957216895959041"|https://twitter.com/AlamEcheverria/status/195957216895959041
