username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
vertiseguros|2017-08-09 13:53|0|0|"Hola @tittojuanki , ¿podrías contarnos tu problema por mensaje privado junto con tu DNI o Nº de póliza para localizarlo y ver qué ha pasado?"||@tittojuanki||"895251562976751620"|https://twitter.com/vertiseguros/status/895251562976751620
Dario21_G|2017-07-17 00:57|1|1|"Están cn el mismo problema q Salliquelo Guamini Suárez acá llega desde la Pampa gral. Pico Verti muy desesperante estamos perdiendo todo"||||"886721554373017601"|https://twitter.com/Dario21_G/status/886721554373017601
krizdabz|2017-05-22 06:47|0|0|"Fakts, ka ir obligāti jābalso automātiski nenozīmē, ka visas partijas un to piedāvājumi ir jēgpilni un sajūsmas vērti . Tā ir problēma ."||||"866515893777567749"|https://twitter.com/krizdabz/status/866515893777567749
corninhodbutter|2017-03-09 17:10|0|0|"Paulo: por essa cara, tas chateada c quem? Eu: n me chateio c ng já Paulo: às vezes o problema é esse Verti uma lagrima e bati palmas :')"||||"839871119796629504"|https://twitter.com/corninhodbutter/status/839871119796629504
JetEdriel|2016-12-07 10:31|0|2|"kung may problema kayo ulit sa la verti nalang kayo magdrama para malapit lang dito sa condo. Hahahaha."||||"806430979204136960"|https://twitter.com/JetEdriel/status/806430979204136960
Marcoshenrick3|2016-09-10 15:09|0|1|"Mas ela é um charme....acho que nao tem nem um problema ela se verti assim,.. https:// twitter.com/karina_olivera /status/774594215007358977 …"||||"774595773778522112"|https://twitter.com/Marcoshenrick3/status/774595773778522112
scaffangulo|2016-07-29 18:12|0|0|"Tienen problema con el césped? A partir del 15 de agosto, resiembra, fertilizar, airear y ojalá vertí corte, con eso pasto nuevo de 15 días"||||"759059072742203392"|https://twitter.com/scaffangulo/status/759059072742203392
anakeyallen|2016-05-17 14:11|0|0|"me han llamado de verti . Que puedo mirar alternativas y anular la póliza sin problema @hdcarrefour"||@hdcarrefour||"732543947382362112"|https://twitter.com/anakeyallen/status/732543947382362112
CarlosDBautista|2016-05-13 01:17|0|0|"Yo no vertí lo de Tigres. LEO puede tener dinero pero su trato con grandeligas es diferente. Allí el problema"||||"730899772379258880"|https://twitter.com/CarlosDBautista/status/730899772379258880
maiaterre|2016-05-05 14:34|0|2|"@vvidal_ftw @gransopi yo tenia el mismo problema e hice eso...santo remedio..y otra vez vertí aceite de cocinar en el parabrisa tb..!!!"||@vvidal_ftw @gransopi||"728201137954930690"|https://twitter.com/maiaterre/status/728201137954930690
gpfmln|2016-04-20 22:45|0|0|"El Presidente del CONSAA, Geovani Verti responde preguntas de los diferentes diputados para con relación al problema de los productores"||||"722888839522484230"|https://twitter.com/gpfmln/status/722888839522484230
jarjonaj|2015-12-03 11:49|0|0|"@vertiseguros que gestion tan penosa. Sigo esperando solucion de mi problema . ni rastro del profesional ni de verti ."||@vertiseguros||"672367103329046528"|https://twitter.com/jarjonaj/status/672367103329046528
orion_XD|2015-10-21 03:47|0|0|"@DarkOfAquarius Não sei se ela tá mal configurada ou se é problema nos cabos (que também já verti e inverti) ou na fiação da casa ou sei lá"||@DarkOfAquarius||"656648025461424129"|https://twitter.com/orion_XD/status/656648025461424129
bilinhomendes|2015-08-15 03:13|0|0|"Só qria pode fazer o q eu qro,sem ter ninguém para mim crítica!!! Se eu quiser mim verti como mulher qual e o problema . A vida e minha!!"||||"632359513182633985"|https://twitter.com/bilinhomendes/status/632359513182633985
flavia_alive|2015-07-31 12:55|0|0|"Status: acabando com o problema da cantareira apenas com as lágrimas que verti ."||||"627069962985828352"|https://twitter.com/flavia_alive/status/627069962985828352
jarjonaj|2015-07-06 12:01|0|0|"@vertiseguros una semana dspués l problema sigue sin resolver Pésima gestión x parte d Verti , dejar una casa sin agua caliente + de 1 semana"||@vertiseguros||"617996735013593088"|https://twitter.com/jarjonaj/status/617996735013593088
jmoral|2015-07-02 13:21|1|3|"@vertiseguros Da gusto cuando una compañía como Verti utiliza todos sus canales online para resolver un pequeño problema . Gracias!!!! #ecrm"||@vertiseguros|#ecrm|"616567402504024064"|https://twitter.com/jmoral/status/616567402504024064
SashaDixit|2015-06-06 20:31|0|1|"@EL_Vertiginoso Holaa Verti . .es terrible! ..Los chicos son chicos, el problema son los padres, no quieren educar, cuidar, decir q no"||@EL_Vertiginoso||"607253433519894528"|https://twitter.com/SashaDixit/status/607253433519894528
kiten16|2015-04-09 19:35|0|0|"@surfsurfy @joyskie__ hahahaha! may problema si Verti at Mickey HappyBirthday AteMILY"||@surfsurfy @joyskie__||"586220943187378176"|https://twitter.com/kiten16/status/586220943187378176
AIveStyLe|2015-03-09 16:42|0|0|"@lujikubrusli Que problema has tenido con Verti ??"||@lujikubrusli||"574958376859344897"|https://twitter.com/AIveStyLe/status/574958376859344897
