username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
vertiseguros|2017-08-14 12:30|0|0|"Si eres inquilino #UtilizaLaCabeza , asegura tus pertenencias con el Seguro de Hogar de Verti y quédate tranquilo. http:// ow.ly/1mK830enRRc pic.twitter.com/04sqbRo5uz"|||#UtilizaLaCabeza|"897042711248875520"|https://twitter.com/vertiseguros/status/897042711248875520
mariaemarcas|2017-08-14 11:06|0|0|"Con el plan amigo de verti , contrata tu seguro a todo riesgo, a terceros, hogar , moto , mascotas 20€-de-regalo-con- verti -n107808y00605a"||||"897021657528905728"|https://twitter.com/mariaemarcas/status/897021657528905728
Cholloterapia|2017-08-11 18:25|0|0|"Descuento de 25€ en todas las cuotas de tu seguro verti si lo contratas online e introduces este código: N102896H06120D verti .es"||||"896044834426937345"|https://twitter.com/Cholloterapia/status/896044834426937345
vertiseguros|2017-08-10 13:36|0|0|"Hola @rafaparadela , si nos facilitas tu DNI o Nº de póliza por privado, localizaremos tu seguro y contactaremos contigo sobre este tema."||@rafaparadela||"895609909043015684"|https://twitter.com/vertiseguros/status/895609909043015684
vertiseguros|2017-08-09 10:41|0|0|"Hola @tipotest , si fueras tan amable de pasarnos por mensaje privado tu DNI o Nº de póliza para localizar tu seguro , contactaremos contigo."||@tipotest||"895203261388640260"|https://twitter.com/vertiseguros/status/895203261388640260
mariaemarcas|2017-08-08 09:59|0|0|". Con el plan amigo de verti , contrata tu seguro a todo riesgo, a terceros, hogar https://www. milanuncios.com/servicios-para -motor/20-de-regalo-con-verti-n107808y00605a-218090451.htm …"||||"894830413029494786"|https://twitter.com/mariaemarcas/status/894830413029494786
vertiseguros|2017-08-07 11:33|0|0|"Hola @pedro2hc , no encontramos ningún seguro con ese Nº de póliza. Mándanos tu DNI por privado para localizar tu caso y contactar contigo."||@pedro2hc||"894491669634088961"|https://twitter.com/vertiseguros/status/894491669634088961
OscarRodridecas|2017-08-01 19:58|0|0|"No me merezco lo que me está pasando con @Verti . Soy un buen cliente pero ellos no son un buen seguro . NOVERTI."||@Verti||"892444429700796416"|https://twitter.com/OscarRodridecas/status/892444429700796416
QuilloBolt|2017-07-31 18:15|0|0|"Verti seguro hogar ,no cumple con lo contratado , lo llamas por una avería y sólo saben darte largas ...muy mal @vertiseguros"||@vertiseguros||"892056108935806976"|https://twitter.com/QuilloBolt/status/892056108935806976
nevicannesser|2017-07-22 13:41|0|0|"Si vas a contratar seguro en #verti usa mi codigo! N104999N08405Y #seguro #coche"|||#verti #seguro #coche|"888725681584164864"|https://twitter.com/nevicannesser/status/888725681584164864
OscarRodridecas|2017-07-15 01:06|0|0|"Una vergüenza de seguro VERTI . Cuatro meses después de un siniestro, y sin coche, sin indemnización, sin ayuda ni apoyo.............NOVERTI"||||"885998903161737217"|https://twitter.com/OscarRodridecas/status/885998903161737217
RedRoyerino|2017-06-26 19:25|0|0|"@verti me cago en vuestros putos muertos y vuestra publicidad de mierda en Spotify no pienso contratar un seguro vuestro en mi puta vida"||@verti||"879390290821468160"|https://twitter.com/RedRoyerino/status/879390290821468160
pormemecom|2017-06-20 09:50|1|0|"Y ahora a cruzar los dedos con el seguro del coche - http:// buff.ly/2tnnAdN #carretera #planes #segurodecoche #verti #mapfre #Accidente pic.twitter.com/DlteEM63Mj"|||#carretera #planes #segurodecoche #verti #mapfre #Accidente|"877071127809544192"|https://twitter.com/pormemecom/status/877071127809544192
vertiseguros|2017-06-19 12:30|2|0|"Elige entre asistencia básica, completa o sin asistencia y #UtilizaLaCabeza con Verti en tu seguro motero. http:// ow.ly/BPPJ30cHuNN pic.twitter.com/uVAmuwcktt"|||#UtilizaLaCabeza|"876748931568414720"|https://twitter.com/vertiseguros/status/876748931568414720
vertiseguros|2017-06-12 13:30|0|1|"Una piedrecita fastidia un viaje. En Verti arreglamos la luna de tu coche sin afectar a tu seguro . #UtilizaLaCabeza http:// ow.ly/ynny30cvGCl pic.twitter.com/mvvSWDGA1b"|||#UtilizaLaCabeza|"874227351017672705"|https://twitter.com/vertiseguros/status/874227351017672705
vertiseguros|2017-05-23 12:30|0|0|"Si eres motero y quieres un seguro #UtilizaLaCabeza . Con Verti podrás elegir tu asistencia y pagar solo lo necesario http:// ow.ly/qjmF30bW5Lw pic.twitter.com/kOPge9PAsI"|||#UtilizaLaCabeza|"866964513177968641"|https://twitter.com/vertiseguros/status/866964513177968641
vertiseguros|2017-05-03 18:30|0|0|"En Verti tenemos tres modalidades de seguro de hogar. #UtilizaLaCabeza y paga solo por lo que necesitas. https:// goo.gl/8oH9g2 pic.twitter.com/TvZAjZXSh5"|||#UtilizaLaCabeza|"859807467643047937"|https://twitter.com/vertiseguros/status/859807467643047937
puesnocaigo|2017-04-28 23:33|0|1|"- He pillao el seguro del coche por 2 euros - Joder! En Verti ? - No, en el desguace"||||"858071667112914944"|https://twitter.com/puesnocaigo/status/858071667112914944
vertiseguros|2017-04-24 12:00|0|1|"Un motero #UtilizaLaCabeza cuando contrata la Tarifa Web de Verti , calcula su seguro online y se ahorra un susto http:// ow.ly/XbTD30b6OMa pic.twitter.com/ljNBuMJEUK"|||#UtilizaLaCabeza|"856447695531147265"|https://twitter.com/vertiseguros/status/856447695531147265
anikasuarez|2017-04-11 11:52|0|1|"Se puede tener peor dia por culpa de tener un seguro de mierda... @vertiseguros #verti espero que el que pueda salir de ahi lo haga rapido"||@vertiseguros|#verti|"851734607330410497"|https://twitter.com/anikasuarez/status/851734607330410497
ApuestasFutbole|2017-04-10 16:01|0|0|"Quien tenga pensado hacer el seguro del coche con Verti que me deje un privado y le doy un código descuento de 50 euros"||||"851435079427665920"|https://twitter.com/ApuestasFutbole/status/851435079427665920
kioler81|2017-04-03 12:02|1|1|"Si el coche te deja tirado que tu seguro no sea verti , pq te quedaste sin coche #FelizLunes"|||#FelizLunes|"848838068031422464"|https://twitter.com/kioler81/status/848838068031422464
Valegna|2017-03-30 13:36|0|0|"Alguien pensando en contratar su seguro de coche con #Verti ? Código Plan Amigo: N107849A05902N. Gracias :) #planAmigo #planAmigoVerti"|||#Verti #planAmigo #planAmigoVerti|"847412152512020483"|https://twitter.com/Valegna/status/847412152512020483
vertiseguros|2017-03-28 13:08|0|0|"¿Utilizas la cabeza solo para llevar sombrero? Mejor #UtilizaLaCabeza para contratar tu seguro con Tarifa Web de Verti ¡y ahorra! pic.twitter.com/gI6s7I1dQW"|||#UtilizaLaCabeza|"846680272829530112"|https://twitter.com/vertiseguros/status/846680272829530112
EduOrozco82|2017-03-21 14:56|0|0|"@mossos @vertiseguros Verti me dice que para asegurar mi moto tengo que ir sin seguro al taller, y tengo 15km y no me dan alternativa.....?"||@mossos @vertiseguros||"844186001652310020"|https://twitter.com/EduOrozco82/status/844186001652310020
Perturasoh|2017-03-15 16:23|1|2|"todos mis amigos tienen el seguro del coche en verti es barata"||||"842033610072940545"|https://twitter.com/Perturasoh/status/842033610072940545
albertogv300|2017-02-28 21:52|0|0|"Código amigo Verti para tener descuento en el seguro del coche N104989K08699V"||||"836680537880334337"|https://twitter.com/albertogv300/status/836680537880334337
coralia36|2017-02-28 16:44|0|0|"@vertiseguro #UtilizaLaCabeza escucho David Bisbal 100%"||@vertiseguro|#UtilizaLaCabeza|"836603086097559553"|https://twitter.com/coralia36/status/836603086097559553
vertiseguros|2017-02-15 13:52|1|1|"Si tu coche tiene menos de un año de antigüedad #UtilizaLaCabeza y ahorra en el seguro de tu coche con Verti . http:// bit.ly/2kS7jvf pic.twitter.com/ljmF0ITRNh"|||#UtilizaLaCabeza|"831848686061776896"|https://twitter.com/vertiseguros/status/831848686061776896
angelica_s23|2017-02-15 01:19|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// htl.li/5NQT509yg7W"||||"831659259351949313"|https://twitter.com/angelica_s23/status/831659259351949313
LaMildredP|2017-02-15 01:19|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/y7BP509yfPd"||||"831659229157195777"|https://twitter.com/LaMildredP/status/831659229157195777
SweetYadira|2017-02-15 01:19|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ht.ly/BdYw509yfzw"||||"831659171275735042"|https://twitter.com/SweetYadira/status/831659171275735042
Cristinabuenav|2017-02-15 01:18|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ht.ly/hkbD509yeE3"||||"831658873190744065"|https://twitter.com/Cristinabuenav/status/831658873190744065
betoestreya|2017-02-15 01:17|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/rwoF509yde1"||||"831658614578360320"|https://twitter.com/betoestreya/status/831658614578360320
Irerierendirala|2017-02-15 01:17|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/xvRv509ydja"||||"831658609247449088"|https://twitter.com/Irerierendirala/status/831658609247449088
sarahisarahi71|2017-02-15 01:05|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ow.ly/85gS509ycQk"||||"831655605773488130"|https://twitter.com/sarahisarahi71/status/831655605773488130
