username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
JustSyl1|2017-08-14 19:28|1|1|"- Anuncio de Verti en Spotify - Ganas de matar aumentando pic.twitter.com/OErboX34xs"||||"897148055761416194"|https://twitter.com/JustSyl1/status/897148055761416194
Mery__Bm|2017-08-11 17:32|0|0|"el anuncio de Verti en spotify ha hecho que me asuste"||||"896031493688000513"|https://twitter.com/Mery__Bm/status/896031493688000513
RedRoyerino|2017-08-06 15:21|0|2|"Me he puesto nervioso y hasta he escrito mal el tweet pero que les follen odio el puto anuncio de Verti en Spotify , que hijos de puta"||||"894186695641485312"|https://twitter.com/RedRoyerino/status/894186695641485312
majadesvestida|2017-07-30 21:08|1|0|"el puto anuncio de spotify de verti me cago en su vida"||||"891737369916919811"|https://twitter.com/majadesvestida/status/891737369916919811
Abudjevic|2017-07-05 10:25|0|1|"Declaración de guerra eterna a verti por ese anuncio infernal en Spotify"||||"882515717589008384"|https://twitter.com/Abudjevic/status/882515717589008384
RedRoyerino|2017-06-26 19:25|0|0|"@verti me cago en vuestros putos muertos y vuestra publicidad de mierda en Spotify no pienso contratar un seguro vuestro en mi puta vida"||@verti||"879390290821468160"|https://twitter.com/RedRoyerino/status/879390290821468160
HiImErni|2017-06-21 17:32|1|0|"¿Qué os parece el anuncio de Verti de spotify ? Porque yo me cago en dios"||||"877549910178058241"|https://twitter.com/HiImErni/status/877549910178058241
daniesteca|2017-06-20 15:01|0|0|"Es increíble el cringe que da el anuncio de Verti de Spotify"||||"877149326337880064"|https://twitter.com/daniesteca/status/877149326337880064
alvaropema|2017-06-18 12:14|0|0|"me cago en tu puto anuncio de verti en spotify desgraciado de mierd"||||"876382662553980928"|https://twitter.com/alvaropema/status/876382662553980928
IvanFbcFb|2017-06-16 03:44|0|0|"El anuncio de Verti en Spotify xdddddd"||||"875529572816650240"|https://twitter.com/IvanFbcFb/status/875529572816650240
meet1Dourdream|2017-06-15 14:50|0|0|"me meo de la risa con el anuncio de verti en spotify el de "what a filiiis bis beliviisss""||||"875334783462723586"|https://twitter.com/meet1Dourdream/status/875334783462723586
SiluroGomes|2017-06-15 11:55|3|0|"Creo que el anuncio de Verti de Spotify es el peor que he tenido que sufrir con diferencia. En serio, qué asco dais @SpotifySpain"||@SpotifySpain||"875290616900571137"|https://twitter.com/SiluroGomes/status/875290616900571137
yeraygobeil|2017-06-13 01:04|0|0|"prefiero 27 anuncios de reggaeton antes del PUTO ANUNCIO DE VERTI DE SPOTIFY QUIERO ARRANCARME LOS TÍMPANOS DEL PUTO CRINGE"||||"874401997230919681"|https://twitter.com/yeraygobeil/status/874401997230919681
NachoMtnzWhite|2017-06-11 23:16|0|2|"no hay nada que me ponga mas de mala ostia que el anuncio de verti en spotify"||||"874012552241577984"|https://twitter.com/NachoMtnzWhite/status/874012552241577984
TheFranRubio|2017-06-10 11:46|0|0|"#verti en la puta vida os voy a contratar! Vuestro anuncio en Spotify es puto cáncer!"|||#verti|"873476425650720769"|https://twitter.com/TheFranRubio/status/873476425650720769
alareov|2017-06-06 02:51|0|1|"y lo buena que es la campaña de publicidad de verti de Spotify qué"||||"871892142364516353"|https://twitter.com/alareov/status/871892142364516353
