username|date|retweets|favorites|text|geo|mentions|hashtags|tid|fecha|anyo|mes|dia|horacomp|hora|minuto|value|palapos|palaneg|txtnosw|tipo|twpos|twneu|twneg
abelino01|2017-08-04 11:38|0|0|que gentuza||||"893405845861650432"|2017-08-04|2017|8|4|11:38:00|11|38|0|0|0|gentuza |Clientes|0|1|0
albaalegree|2017-08-17 03:41|0|1|he intentenyado leer tarifa web de verti  y he sido incapaz de pronunciarlo y jaja mi padre sabe que voy mal||||"897996688719204352"|2017-08-17|2017|8|17|03:41:00|3|41|0|1|2|intentenyado leer tarifa web verti incapaz pronunciarlo jaja padre sabe voy mal |Clientes|0|1|0
antoniajbernal|2017-08-04 14:08|0|0|a lo mejor si se quema la casa entera y muere alguien entonces si que hubieran respondido que asco de gente.||||"893443541527089152"|2017-08-04|2017|8|4|14:08:00|14|8|-2|3|2|mejor si quema casa entera muere alguien entonces si respondido asco gente |Clientes|0|0|1
apk_rules|2017-08-08 19:31|0|0|verti seguros apk android ift.tt/2vbiyer|||#android|"894974383810375681"|2017-08-08|2017|8|8|19:31:00|19|31|0|0|0|verti seguros apk android ifttt2vbiyer |Clientes|0|1|0
argentobcn46|2017-08-08 13:25|0|0|sigo esperando alguna repuesta es una verguenza como tratais a los clientes lobaratosalecaro veranosinmoto|||#lobaratosalecaro #veranosinmoto|"894882236201172992"|2017-08-08|2017|8|8|13:25:00|13|25|-1|0|1|sigo esperando alguna repuesta verguenza tratais clientes lobaratosalecaro veranosinmoto |Clientes|0|0|1
DaniOzark|2017-08-15 16:52|0|1|el anuncio de vertiseguros en spotifyspain ||@vertiseguros @SpotifySpain||"897471067484246016"|2017-08-15|2017|8|15|16:52:00|16|52|0|0|0|anuncio vertiseguros spotifyspain |Clientes|0|1|0
FerAguilarTamez|2017-08-01 11:03|0|0|nunca podre consultar online el estado de mi siniestro vertiseguros  lloro al escuchar eso de ahorrar tiempo y dinero a traves de la web||||"892309867901440000"|2017-08-01|2017|8|1|11:03:00|11|3|-6|0|3|nunca podre consultar online siniestro vertiseguros lloro escuchar ahorrar tiempo dinero traves web |Clientes|0|0|1
Infopolizas_com|2017-08-03 19:18|0|0|de quien es verti seguros infopolizas.com/de-quien-es-ve rti-seguros/utmsource=reviveoldpost&utmmedium=social&utmcampaign=reviveoldpost seguros|||#seguros|"893159244312317956"|2017-08-03|2017|8|3|19:18:00|19|18|0|0|0|verti seguros infopolizascomdequienesve rtisegurosutmsource=reviveoldpost&utmmedium=social&utmcampaign=reviveoldpost seguros |Excluir|0|1|0
Infopolizas_com|2017-08-12 06:33|0|0|de quien es verti seguros infopolizas.com/de-quien-es-ve rti-seguros/utmsource=reviveoldpost&utmmedium=social&utmcampaign=reviveoldpost seguros|||#seguros|"896228199230779392"|2017-08-12|2017|8|12|06:33:00|6|33|0|0|0|verti seguros infopolizascomdequienesve rtisegurosutmsource=reviveoldpost&utmmedium=social&utmcampaign=reviveoldpost seguros |Excluir|0|1|0
InsareInsurance|2017-08-15 09:30|0|0|the latest insares news 2016 paper.li/insareinsuranc e/sector-seguroseditionid=a6662a00-818b-11e7-9bcb-002590a5ba2d thanks to catalanaocc mapfremx vertiseguros seguros creatividad||@catalanaocc @MAPFRE_MX @vertiseguros|#seguros #creatividad|"897359899310657536"|2017-08-15|2017|8|15|09:30:00|9|30|0|0|0|the latest insares news 2016 paperliinsareinsuranc esectorseguroseditionid=a6662a00818b11e79bcb002590a5ba2d thanks to catalanaocc mapfremx vertiseguros seguros creatividad |Excluir|0|1|0
