username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
vertiseguros|2017-08-22 13:25|0|0|"¡CONCURSO! Si quieres ir al concierto #ViveDial con @Cadena_Dial entra en nuestro #Facebook y participa: https:// goo.gl/mJCPij pic.twitter.com/eamLcTNgJm"||@Cadena_Dial|#ViveDial #Facebook|"899955736595374080"|https://twitter.com/vertiseguros/status/899955736595374080
vertiseguros|2017-08-21 12:45|0|0|"#UtilizaLaCabeza y ahorra con la Tarifa Web de Verti al calcular tu seguro online: http:// bit.ly/2fXMEpR pic.twitter.com/7mLLUevG8C"|||#UtilizaLaCabeza|"899583108223164417"|https://twitter.com/vertiseguros/status/899583108223164417
vertiseguros|2017-08-21 08:08|0|0|"Hola @jordisequeda, mándanos por favor tus datos por privado para poder contactarte y encontrar una solución a tu situación. Un saludo."||@jordisequeda||"899513409451941889"|https://twitter.com/vertiseguros/status/899513409451941889
vertiseguros|2017-08-18 15:18|3|7|"#TodosSomosCataluña #NoMásTerrorismo pic.twitter.com/iYTvkHPa8z"|||#TodosSomosCatalu #NoM|"898534533192192000"|https://twitter.com/vertiseguros/status/898534533192192000
vertiseguros|2017-08-17 12:44|0|0|"Hola Lorena, mándanos tus datos de póliza por privado y te contactamos nosotros. Un saludo y gracias."||||"898133514431983617"|https://twitter.com/vertiseguros/status/898133514431983617
vertiseguros|2017-08-17 04:54|0|0|"Con una velocidad máxima así, ¿creéis que habría límite de velocidad? #UtilizaLaCabeza pic.twitter.com/nhYDJkD3ir"|||#UtilizaLaCabeza|"898015144927674368"|https://twitter.com/vertiseguros/status/898015144927674368
vertiseguros|2017-08-16 12:30|1|1|"Sabemos que ya ha pasado medio agosto y tienes la #NeuronaDeGuardia . ¡Disfruta lo que queda del #verano ! http:// ow.ly/1Da130enSpb pic.twitter.com/DcIiBF3Fsn"|||#NeuronaDeGuardia #verano|"897767487319789568"|https://twitter.com/vertiseguros/status/897767487319789568
vertiseguros|2017-08-16 11:57|0|0|"Hola @ZHALIGdeZHALIG , pásanos por favor tus datos por privado para contactar contigo y ver cómo podemos solucionarlo. Un saludo y gracias."||@ZHALIGdeZHALIG||"897759177665335296"|https://twitter.com/vertiseguros/status/897759177665335296
vertiseguros|2017-08-14 12:30|0|0|"Si eres inquilino #UtilizaLaCabeza , asegura tus pertenencias con el Seguro de Hogar de Verti y quédate tranquilo. http:// ow.ly/1mK830enRRc pic.twitter.com/04sqbRo5uz"|||#UtilizaLaCabeza|"897042711248875520"|https://twitter.com/vertiseguros/status/897042711248875520
vertiseguros|2017-08-11 12:30|1|4|"Si quieres proteger a los que te rodean y a ti mismo, #UtilizaLaCabeza y abróchate el cinturón. pic.twitter.com/MXeT7NSlfo"|||#UtilizaLaCabeza|"895955563858755585"|https://twitter.com/vertiseguros/status/895955563858755585
vertiseguros|2017-08-10 13:36|0|0|"Hola @rafaparadela , si nos facilitas tu DNI o Nº de póliza por privado, localizaremos tu seguro y contactaremos contigo sobre este tema."||@rafaparadela||"895609909043015684"|https://twitter.com/vertiseguros/status/895609909043015684
vertiseguros|2017-08-10 12:30|1|2|"Conviértete en el rey de los gadgets en casa con estas #apps pensadas para el confort. http:// ow.ly/JELT30edo10"|||#apps|"895593158515601408"|https://twitter.com/vertiseguros/status/895593158515601408
vertiseguros|2017-08-09 13:53|0|0|"Hola @tittojuanki , ¿podrías contarnos tu problema por mensaje privado junto con tu DNI o Nº de póliza para localizarlo y ver qué ha pasado?"||@tittojuanki||"895251562976751620"|https://twitter.com/vertiseguros/status/895251562976751620
vertiseguros|2017-08-09 12:30|2|2|"Sabemos que no llevas la cabeza de adorno, así que no hay excusas para no darle uso. #UtilizaLaCabeza todo el verano. pic.twitter.com/lAL7yrhlu9"|||#UtilizaLaCabeza|"895230772898037760"|https://twitter.com/vertiseguros/status/895230772898037760
vertiseguros|2017-08-09 10:41|0|0|"Hola @tipotest , si fueras tan amable de pasarnos por mensaje privado tu DNI o Nº de póliza para localizar tu seguro, contactaremos contigo."||@tipotest||"895203261388640260"|https://twitter.com/vertiseguros/status/895203261388640260
vertiseguros|2017-08-08 13:17|0|0|"Hola @pedro2hc , me comunican que hoy mismo el centro tramitador se pondrá en contacto contigo a través de la Oficina de Internet. Un saludo."||@pedro2hc||"894880174927491074"|https://twitter.com/vertiseguros/status/894880174927491074
vertiseguros|2017-08-08 12:30|1|1|"En Verti no negociamos tu precio inicial ni tu renovación. #UtilizaLaCabeza con el mejor precio desde el principio. ¡Feliz día de los gatos! pic.twitter.com/EOAMmYYWia"|||#UtilizaLaCabeza|"894868305705443330"|https://twitter.com/vertiseguros/status/894868305705443330
vertiseguros|2017-08-07 12:30|0|0|"Si #UtilizaLaCabeza y siempre llevas “por si acaso” en tu maleta, la Tarifa Previsor de Verti es perfecta para ti. http:// ow.ly/2M0030edso0 pic.twitter.com/h5Rr6OqVvo"|||#UtilizaLaCabeza|"894506001935761409"|https://twitter.com/vertiseguros/status/894506001935761409
vertiseguros|2017-08-07 11:33|0|0|"Hola @pedro2hc , no encontramos ningún seguro con ese Nº de póliza. Mándanos tu DNI por privado para localizar tu caso y contactar contigo."||@pedro2hc||"894491669634088961"|https://twitter.com/vertiseguros/status/894491669634088961
vertiseguros|2017-08-04 14:38|0|0|"Hola @pedro2hc , mándanos por favor tus datos por privado para que revisemos tu caso y te contactemos lo antes posible. un saludo y gracias."||@pedro2hc||"893450991261163522"|https://twitter.com/vertiseguros/status/893450991261163522
vertiseguros|2017-08-04 14:20|0|0|"Hola @antoniajbernal , mándanos por favor tus datos por privado para revisar con detenimiento tu caso y ponernos en contacto contigo. Gracias"||@antoniajbernal||"893446654434693121"|https://twitter.com/vertiseguros/status/893446654434693121
vertiseguros|2017-08-04 13:48|0|0|"Hola @abelino01 , mándanos por favor tus datos por privado para que podamos revisar tu caso con detenimiento. Un saludo y gracias."||@abelino01||"893438582169489408"|https://twitter.com/vertiseguros/status/893438582169489408
vertiseguros|2017-08-04 12:30|0|1|"Si eres un desastre preparándote para las #vacaciones , aquí tienes estos #VertiConsejos sobre cómo hacer la maleta. #UtilizaLaCabeza pic.twitter.com/MWobApUsjH"|||#vacaciones #VertiConsejos #UtilizaLaCabeza|"893418830873186304"|https://twitter.com/vertiseguros/status/893418830873186304
vertiseguros|2017-08-03 13:30|0|0|"¿Podría ser este invento la clave para la seguridad de los ciclistas en sus viajes por carretera? http:// ow.ly/KUw330e4o7V"||||"893071569932648456"|https://twitter.com/vertiseguros/status/893071569932648456
vertiseguros|2017-08-03 11:30|0|1|"Y aquí la solución al reto de ayer. ¿Acertaste? pic.twitter.com/wzidj2O5rx"||||"893041353529184256"|https://twitter.com/vertiseguros/status/893041353529184256
